expansion_id,repository,title,url,state,created_at,updated_at,github_labels,body_excerpt,primary_failure_label,secondary_cause_labels,is_true_numerical_failure,confidence,evidence_quote,notes,candidate_primary_failure,candidate_failure_labels,candidate_cause_labels,source_file
EGNF-0001-7d6af292,numba/numba,OSError: exception: access violation reading ... in nvvm.py,https://github.com/numba/numba/issues/4783,closed,2019-11-04T21:23:52Z,2021-08-21T05:43:23Z,needtriage|CUDA,"I am using cudatoolkit 10.1.168, llvmlite 0.30.0 and numba 0.46.0 in Windows 10, python 3.7.  I wrote some code for using the cuda & GPU. It drives me crazy that the kernel call line in the code doesn't compile (and run) on a random basis from time to time.
 
 The memory access violation occurs every time in the numba\cuda\cudadrv\nvvm.py in compile(self, **options), line 232, err = self.driver.nvvmCompileProgram(self._handle, len(opts), c_opts)
 
 ```
 8     r = cuda_dp.play_A_Game_With_GPU(env, env_out, doCheckDiceSel_2rollsLeft, doCheckDiceSel_1rollsLeft, doCheckSlotSel, countWins_out_gpu, countDraws_out_gpu, countLosts_out_gpu, avgRes_out_gpu, s_countWins_out_gpu, s_countDraws_out_gpu, s_countLosts_out_gpu, s_avgRes_out_gpu, cuda_dp.gpu_const_arrays, blocks, threads_per_block, random_s",crash_compile,compiler_codegen|async_race_ordering|hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,compiler_codegen|async_race_ordering|hardware_backend,numba_cuda_incorrect.json
EGNF-0002-5eeebfe9,numba/numba,CUDA malloc. Fatal Python error: Aborted,https://github.com/numba/numba/issues/4833,closed,2019-11-13T05:17:38Z,2020-02-06T09:22:59Z,CUDA|no action required,"<!--
 
 Thanks for opening an issue! To help the Numba team handle your information
 efficiently, please first ensure that there is no other issue present that
 already describes the issue you have
 (search at https://github.com/numba/numba/issues?&q=is%3Aissue).
 
 For more general ""how do I do X?"" type questions, please speak to us in real
 time on https://gitter.im/numba/numba or post to the Numba mailing list
 https://groups.google.com/a/continuum.io/forum/#!forum/numba-users.
 
 -->
 
 ## Reporting a bug
 
 <!--
 
 Please include details of the bug here, including, if applicable, what you
 expected to happen!
 
 -->
 
 I've developed an image processing script that does gamma correction (on cpu), sobel(on nvidia gpu).
 But, strangely the program is crashing frequently where the freque",crash_compile,hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,hardware_backend,numba_cuda_precision.json
EGNF-0003-382601ef,numba/numba,Strides of transposes differ between CUDA target and Numpy,https://github.com/numba/numba/issues/4974,open,2019-12-16T17:47:50Z,2019-12-17T13:58:25Z,bug|feature_request|CUDA|discussion,"- [X] I am using the latest released version of Numba (most recent is visible in
  the change log (https://github.com/numba/numba/blob/master/CHANGE_LOG).
 - [X] I have included below a minimal working reproducer (if you are unsure how
  to write one see http://matthewrocklin.com/blog/work/2018/02/28/minimal-bug-reports).
 
 Spotted whilst working on a fix for #4832 - there is a further deviation from Numpy in the strides of transposes of views. Example:
 
 ```python
 from numba import cuda
 import numpy as np
 
 a = np.arange(120).reshape((10, 12))
 a_view = a[::2, ::2]
 a_view_t = a_view.T
 
 
 d_a = cuda.to_device(a)
 d_a_view = d_a[::2, ::2]
 d_a_view_t = d_a_view.T
 
 h_a_view_t = d_a_view_t.copy_to_host()
 
 print(a_view_t)
 print(h_a_view_t)
 
 print(d_a_view.strides)
 print(d_a_vie",crash_compile,hardware_backend|reduction_accumulation,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,hardware_backend|reduction_accumulation,numba_cuda_incorrect.json
EGNF-0004-ff555c52,numba/numba,"Intel TBB is required, no threading layer could be loaded, however TBB is already installed",https://github.com/numba/numba/issues/5982,closed,2020-07-13T17:04:06Z,2021-02-26T12:45:16Z,no action required|threading,"Using Numba 0.50.1, and Python 3.8.2, here is the code causing the bug:
 ```
 from numba import config, njit, threading_layer
 import numpy as np
 
 # set the threading layer before any parallel target compilation
 config.THREADING_LAYER = 'tbb'
 
 @njit(parallel=True)
 def foo(a, b):
 	return a + b
 x = np.arange(10.)
 y = x.copy()
 
 foo(x, y)
 # demonstrate the threading layer chosen
 print(""Threading layer chosen: %s"" % threading_layer())
 ```
 
 Which gives me the error
 ```
 Traceback (most recent call last):
   File ""/home/ilknull/.local/lib/python3.8/site-packages/numba/core/errors.py"", line 745, in new_error_context
     yield
   File ""/home/ilknull/.local/lib/python3.8/site-packages/numba/core/lowering.py"", line 273, in lower_block
     self.lower_inst(inst)
   File ""/home/ilknul",crash_compile,compiler_codegen,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,compiler_codegen,numba_cuda_incorrect.json
EGNF-0005-4ba5974e,numba/numba,Numba installation scripts exhibit a race condition during parallel builds,https://github.com/numba/numba/issues/7063,open,2021-05-27T04:48:39Z,2021-06-07T10:55:44Z,bug - incorrect behavior,"I can't confirm whether prior versions of Numba suffer similar issues, <sup>*...they almost certainly do*</sup> but Numba 0.53.1 non-deterministically blows up at compilation time when enabling parallel make jobs – that is, when passing anything *other* than `-j 1` to the `setup.py build` phase.
 
 When passing `-j {n}` for `n > 1`, installation frequently fails with a wall of text resembling:
 
 ```
 $ python3.7 setup.py build -j 64
 TBB disabled
 OpenMP disabled
 running build
 got version from expanded keyword {'version': '0.53.1', 'full': '97fe221b3704bd17567b57ea47f4fc6604476cf9'}
 running build_py
 creating /var/tmp/portage/dev-python/numba-0.53.1/work/numba-0.53.1-python3_7/build/lib/numba
 copying numba/runtests.py -> /var/tmp/portage/dev-python/numba-0.53.1/work/numba-0.53.1-pytho",crash_compile,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend|reduction_accumulation,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend|reduction_accumulation,numba_cuda_nan.json
EGNF-0006-b43608f4,numba/numba,Silently incorrect compilation involving nested functions and asserts,https://github.com/numba/numba/issues/7916,open,2022-03-16T16:40:17Z,2022-03-21T11:06:27Z,bug - miscompile,"This is a very nasty bug that leads to silently incorrect compilation. I first encountered it using `cuda.jit`, but have reproduced it identically on plain `nb.jit`. Here's a repro and explanation.
 
 ```python3
 import numpy as np
 import numba as nb
 
 @nb.jit
 def foo_kernel(data):
   def inner(): 
     assert True
 
     def even_innerer(): pass
 
     even_innerer()
 
     foo = 0
     foo = 0
     data[foo] = 1
 
   inner()
 
 foo_data = np.zeros((1))
 foo_kernel(foo_data)
 print(foo_data)
 ```
 
 The above should print `[1.]` but instead prints `[0.]`.
 
 The correct behaviour can be restored by doing any one of the following things:
 - Removing `assert True` (it seems to happen for any assertion)
 - Removing the `even_innerer()` call
 - Removing either one of the duplicated `foo = ",crash_compile,hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,hardware_backend,numba_cuda_incorrect.json
EGNF-0007-8dd09989,numba/numba,CUDA; Need to handle incorrect `CUDA_HOME` more gracefully,https://github.com/numba/numba/issues/9241,open,2023-10-13T16:15:42Z,2024-10-01T14:49:40Z,feature_request|CUDA,"It looks like Numba doesn't handle it very gracefully when `CUDA_HOME` is incorrectly set (see traceback in report for #9216). We can improve on the feedback to the user:
 
 *  It would be much better if it made it clear that `CUDA_HOME` was not correct rather than giving the exception stating that NVVM is missing
 * When `CUDA_HOME` is set incorrectly, the CUDA libraries test raises an exception and therefore `numba -s` prints no helpful information about the failure to detect components of the toolkit
 * `CUDA_HOME` should also be included in the list of relevant environment variables affecting Numba.
 
 cc @AromaticJ",crash_compile,hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,hardware_backend,numba_cuda_incorrect.json
EGNF-0008-5814ed26,numba/numba,Pass NULL pointer for cffi.FFI().from_buffer(empty array),https://github.com/numba/numba/issues/9654,open,2024-07-14T19:42:40Z,2025-09-19T16:21:43Z,CUDA|bug - incorrect behavior,"When linking to a C function from the python CUDA kernel, the data in a device array can be passed by the expression
 ```
 ffi.from_buffer(d_ary)
 ```
 
 However, an exception if raised if an empty array is passed. This should instead be passed as a `NULL` pointer. There is not the danger of dereferencing a `NULL` pointer as the size of the array must also be passed to the C function.",crash_compile,memory_mask_bounds|hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,memory_mask_bounds|hardware_backend,numba_cuda_dtype.json
EGNF-0009-e36488c5,rapidsai/cudf,[BUG]CUDA_ERROR_NO_DEVICE,https://github.com/rapidsai/cudf/issues/14343,closed,2023-10-28T16:32:12Z,2025-01-17T05:57:08Z,bug|0 - Waiting on Author,"Setup:
 
 Installed RAPIDS in a WSL2 environment.
 Error when importing cudf:
 
 ```
 CudaSupportError: Error at driver init: 
 Call to cuInit results in CUDA_ERROR_NO_DEVICE (100):
 ```
 
 Full error code:
 
 ```
 ---------------------------------------------------------------------------
 CudaAPIError                              Traceback (most recent call last)
 File [~/miniconda3/envs/rapids-23.12/lib/python3.10/site-packages/numba/cuda/cudadrv/driver.py:258](https://vscode-remote+wsl-002bubuntu.vscode-resource.vscode-cdn.net/mnt/d/learn-rapids/~/miniconda3/envs/rapids-23.12/lib/python3.10/site-packages/numba/cuda/cudadrv/driver.py:258), in Driver.ensure_initialized(self)
     257     _logger.info('init')
 --> 258     self.cuInit(0)
     259 except CudaAPIError as e:
 
 File [~/minico",crash_compile,compiler_codegen|async_race_ordering|hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,crash_compile,crash_compile,compiler_codegen|async_race_ordering|hardware_backend,cudf_cuda_incorrect.json
EGNF-0010-ee62d45c,cupy/cupy,Get segmentation fault with FFT callback function,https://github.com/cupy/cupy/issues/5296,closed,2021-05-30T23:31:54Z,2021-06-08T08:01:44Z,cat:bug,"`pr.py`
 ```python
 import numpy as np
 import cupy as cp
 
 code = r'''
 __device__ cufftComplex CB_ConvertInput(
     void *dataIn,
     size_t offset,
     void *callerInfo,
     void *sharedPtr) {
             return make_float2(0.0, 0.1);
 }
 
 __device__ cufftCallbackLoadC d_loadCallbackPtr = CB_ConvertInput;
 '''
 
 in_arr = cp.random.rand(12, dtype=np.float32)
 
 with cp.fft.config.set_cufft_callbacks(cb_load=code):
     out_arr = cp.fft.fft(in_arr)
 
 print(out_arr)
 ```
 Run with
 ```
 CUDA_VISIBLE_DEVICES=0 python pr.py
 ```
 Then I got
 ```
 [1]    410392 segmentation fault (core dumped)  CUDA_VISIBLE_DEVICES=0 python pr.py
 ```
 
 My system information:
 ```
 OS                           : Linux-5.12.8-arch1-1-x86_64-with-glibc2.33
 Python Version               : 3.9.5
 CuPy V",dtype_casting,memory_mask_bounds|hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,dtype_casting,dtype_casting,memory_mask_bounds|hardware_backend,cupy_overflow_issues.json
EGNF-0011-83b29bbf,cupy/cupy,center_of_mass much slower than expected?,https://github.com/cupy/cupy/issues/7046,open,2022-09-09T08:13:29Z,2022-09-20T16:50:41Z,issue-checked,"### Description  before I forget, thanks for cupy!! :-) it's been great for me so far, with some very nice speedups.
 
 for cupyx.scipy.ndimage.center_of_mass, though, it seems like something is wrong or not yet fully optimized perhaps..? or am I doing something wrong? :)
 
 I will try to attach a sample program that shows a speedup of only about 1.3 compared to scipy, for a 1000x1000 input matrix. it's not much faster for larger matrices.
 
 thanks in advance for your reaction!  ### To Reproduce  ```python
 import time
 import numpy as np
 import scipy
 import cupy as cp
 from cupyx.scipy.ndimage import center_of_mass
 from cupy.cuda.runtime import deviceSynchronize
 
 # do not count first round, as it initializes the GPU
 # (as I read it, this happens only one time within a process)
 for",dtype_casting,hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,dtype_casting,dtype_casting|performance_only,hardware_backend,cupy_nan_issues.json
EGNF-0012-95fad325,cupy/cupy,cusolver error: CUSOLVER_STATUS_INVALID_VALUE for large matrices when trying `linalg.eigh`,https://github.com/cupy/cupy/issues/7261,closed,2022-12-22T00:35:42Z,2024-09-17T15:33:05Z,issue-checked,"### Description  While trying to use `cp.linalg.eigh` on a batch of matrices, there was some specific size beyond which I would get an error `CUSOLVERError: CUSOLVER_STATUS_INVALID_VALUE`
 
 I tried to debug and it came down to `_cusolver.cheevjBatched_bufferSize`, but the cuda error isn't very helpful since the parameters all seem fine except for the size of the input.  ### To Reproduce  here i'm trying to get the buffer size for a batch of (4, 4) matrices
 
 ```py
 from cupy_backends.cuda.libs import cusolver as _cusolver
 from cupy.cuda import device as _device
 from cupy_backends.cuda.libs import cublas as _cublas
 import cupy as _cupy
 import numpy as _numpy
 
 def test_size(s, mat_size=(4, 4)):
     # Mostly copied from
     # https://github.com/cupy/cupy/blob/v11.4.0/cupy/cusolver.p",dtype_casting,async_race_ordering|hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,dtype_casting,dtype_casting,async_race_ordering|hardware_backend,cupy_overflow_issues.json
EGNF-0013-ecd9a6ba,cupy/cupy,Support sparse matrix with bool,https://github.com/cupy/cupy/issues/7741,open,2023-07-20T12:25:06Z,2023-09-17T14:47:37Z,contribution welcome|cat:feature,"Currently, `cupyx.scipy.sparse.*_matrix` classes have partial support for `bool` dtype. Specifically:
 
 * COO matrix does not support `bool` https://github.com/cupy/cupy/blob/eb4a7b4ca9b1caf139abac00845028e6419d51dc/cupyx/scipy/sparse/_coo.py#L141-L144
 * Other matrix classes accepts creation of `bool` matrix, but are not well-tested.
 
 ```[tasklist]
 - [x] Support `bool` matrix in COO #7764
 - [ ] Add tests for `bool` dtype for each matrix format
 - [ ] Add boolean operators (e.g., `__ne__`) for each matrix format to avoid intermediate conversion to CSR (#7757)
 - [ ] Add boolean methods (e.g., `nonzero`) for each matrix format (#7751)
 ```",dtype_casting,needs_review,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,dtype_casting,dtype_casting,needs_review,cupy_dtype_issues.json
EGNF-0014-42974c96,cupy/cupy,argsort etc. to use int32 instead of int64,https://github.com/cupy/cupy/issues/8472,open,2024-08-10T20:35:32Z,2025-08-12T15:13:59Z,contribution welcome|cat:performance|prio:medium,"### Description
 
 cupy.argsort uses int64 dtype for its results. When arrays of length less than 2 billion entries are used (which is nearly all of the use cases, see later), it would more efficient in terms of speed and memory usage to use int32.
 
 Int64 consumes double the memory bandwidth. And also, the the stored result would use double amount of memory. All for nothing, since in most cases the input array would be less than 2 billion entries. 
 
 With int64 dtype, a slightly more than 2 billion entries in the input array would need more than 2*8 = 16 GiB memory just for the result of argsort to be stored, and another  16 or 8 GiB for the input array _(16 GiB for a 64 bit input array, or 8 GiB for a 32 bit input while then statistically really many of the input entries would be the s",dtype_casting,hardware_backend,yes,low,,AI/candidate prefill only; human must verify label and add evidence before this row can become gold.,dtype_casting,dtype_casting,hardware_backend,cupy_dtype_issues.json
