source,source_query,repository,issue_number,title,url,state,created_at,updated_at,github_labels,candidate_failure_labels,candidate_primary_failure,candidate_cause_labels,priority_score,body_excerpt
github_search,wrong result,pytorch/pytorch,183249,`torch.compile` produces wrong results for `fractional_max_pool2d` when `_random_samples` is not provided,https://github.com/pytorch/pytorch/issues/183249,open,2026-05-11T03:58:36Z,2026-05-12T17:08:48Z,triage review|triaged|module: random|has workaround|module: correctness (silent)|module: pooling|oncall: pt2|module: inductor|bot-triaged,precision_tolerance,precision_tolerance,compiler_codegen|async_race_ordering|hardware_backend|reduction_accumulation|api_semantics|environment_configuration,18,"### 🐛 Describe the bug ## 🐛 Describe the bug `torch.compile(backend='inductor')` produces incorrect output for `torch.nn.functional.fractional_max_pool2d` when the internal random sampling path is used (i.e., `_random_samples` is not explicitly passed). The compiled version selects **different pooling indices** than eager mode, returning wrong values. This is **not** a numerical precision issue — the compiled kernel picks entirely different source elements. With `_random_samples` explicitly provided, the results match exactly. ## Reproducer ```python import torch import torch._inductor torch._inductor.config.force_disable_caches = True x = torch.randn(1, 3, 16, 16, device='cuda') # Eager torch.manual_seed(42); torch.cuda.manual_seed(42) eager_out, eager_idx = torch.nn.functional.fractional_max_pool2d( x, 3, output_size=(4, 4), return_indices=True) # Compiled torch._dynamo.reset() torch.manual_seed(42); torch.cuda.manual_seed(42) comp_out, comp_idx = torch.compile( lambda x: torch.nn.functional.fractional_max_pool2d( x, 3, output_size=(4, 4), return_indices=True), backend='inductor' )(x) print(f""Index mismatches: {(eager_idx != comp_idx).sum().item()}/{eager_idx.numel()}"") print(..."
github_search,wrong result,triton-lang/triton,9963,[Bug] Wrong results from while-loop with mixed int32/bfloat16 arithmetic,https://github.com/triton-lang/triton/issues/9963,closed,2026-04-08T16:43:48Z,2026-04-14T16:24:55Z,bug,precision_tolerance|dtype_casting,precision_tolerance,memory_mask_bounds|hardware_backend|api_semantics|environment_configuration,17,"### Describe the bug ### Summary A Triton `while` loop that subtracts a `bfloat16` value from an `int32` loop variable (with `.to(tl.int32)` cast each iteration) produces incorrect output compared to the equivalent PyTorch computation. The maximum absolute error is consistently **8.0**, reproducing **100% of the time** across random inputs. The kernel and reference process the same 256 elements in a single block, so `tl.max` and `torch.max` evaluate the exact same data — this is a code generation bug, not a scope mismatch. Note that this code is generated from fuzzing tool. ### Environment - **Triton**: 3.6.0 - **PyTorch**: 2.10.0 - **CUDA**: 13.2 - **GPU**: NVIDIA GeForce RTX 4070 Ti SUPER - **OS**: Linux (WSL) ### Reproducer ```python import torch import triton import triton.language as tl @triton.jit def triton_kernel(in_ptr1, in_ptr2, out_ptr, n_elements, BLOCK_SIZE: tl.constexpr): pid = tl.program_id(axis=0) offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE) mask = offsets < n_elements v_1 = tl.load(in_ptr1 + offsets, mask=mask) # int32 v_2 = tl.load(in_ptr2 + offsets, mask=mask) # bfloat16 v_4 = v_1 _i = 0 while tl.max(v_4, axis=0) >= 5.0 and _i < 8: v_4 = v_4 - v_2 # i..."
github_search,nan,pytorch/pytorch,173885,[Inductor][CPU][float16] LayerNorm outputs NaN when input contains Inf,https://github.com/pytorch/pytorch/issues/173885,open,2026-01-30T04:40:55Z,2026-03-04T06:38:36Z,module: nn|triaged|module: NaNs and Infs|module: edge cases|module: inductor|oncall: cpu inductor|bot-triaged|bot-mislabeled,nan_inf|overflow_underflow|precision_tolerance|dtype_casting,nan_inf,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend|api_semantics|environment_configuration,16,"### 🐛 Describe the bug Summary: When using torch.compile with cpu device and float16 precision, LayerNorm produces NaN outputs when the input contains Inf values. This behavior is inconsistent with the CUDA backend and Eager mode, where numerical stability is better maintained. Observation: In our reproduction, Mode A (CUDA float32) works correctly. In Mode B (CPU float16 with Inductor optimization), the input already contains Inf due to float16 overflow. However, instead of maintaining Inf or handling it gracefully, the compiled LayerNorm transforms these Inf values into NaN. Comparison: Mode A (CUDA/f32): Input OK -> Output OK Mode B (CPU/f16): Input has Inf -> Output has NaN (Numerical collapse) ```python import torch import torch.nn as nn import os import contextlib @contextlib.contextmanager def set_env(env_str: str): original = os.environ.copy() s = (env_str or ""0000"")[:4].ljust(4, ""0"") os.environ.update({ ""INDUCTOR_FALLBACK_RANDOM"": ""1"" if s[0] == ""1"" else ""0"", ""INDUCTOR_EPILOGUE_FUSION"": ""1"" if s[1] == ""1"" else ""0"", ""INDUCTOR_SHAPE_PADDING"": ""1"" if s[2] == ""1"" else ""0"", ""INDUCTOR_DYNAMIC"": ""1"" if s[3] == ""1"" else ""0"" }) yield os.environ.clear() os.environ.update(original..."
github_search,incorrect result,pytorch/pytorch,175154,[inductor/aot_eager] interpolate under torch.compile produces incorrect result when mode is `nearest`,https://github.com/pytorch/pytorch/issues/175154,open,2026-02-17T15:40:38Z,2026-03-09T23:23:31Z,high priority|triage review|triaged|module: dispatch|oncall: pt2|module: decompositions|PT2-Bug-Bash,precision_tolerance|dtype_casting,precision_tolerance,compiler_codegen|environment_configuration,16,"### 🐛 Describe the bug Here is the code to reproduce: ```python import torch def fn(x): x = torch.nn.functional.interpolate(x, scale_factor=1.3, mode='nearest') return x x1 = torch.tensor([[[[1.0, 2.0]]]], dtype=torch.float64) x2 = torch.tensor([[[[1.0, 2.0]]]], dtype=torch.float64) cfunc = torch.compile(fn, backend='aot_eager') out1 = fn(x1) print(out1) ''' tensor([[[[1., 2.]]]], dtype=torch.float64) ''' out2 = cfunc(x2) print(out2) ''' tensor([[[[1., 1.]]]], dtype=torch.float64) ''' torch.testing.assert_close(out1, out2, equal_nan=True) ``` The expected result is `[[[[1,2]]]]`, but the actual result is `[[[[1,1]]]]`, I guess it is caused by some rounding issues inside torch.compile? This issue only happens when setting backend to 'aot_eager' or 'inductor', but does not happen when setting backend to 'eager' ### Error logs Mismatched elements: 1 / 2 (50.0%) Greatest absolute difference: 1.0 at index (0, 0, 0, 1) (up to 1e-07 allowed) Greatest relative difference: 1.0 at index (0, 0, 0, 1) (up to 1e-07 allowed) ### Versions [pip3] torch==2.11.0.dev20260209+cpu [pip3] triton==3.6.0 [conda] torch 2.11.0.dev20260209+cpu pypi_0 pypi [conda] triton 3.6.0 pypi_0 pypi cc @ezyang @gchan..."
github_search,nan,triton-lang/triton,3491,triton generates unnecessary shared memory stores/loads,https://github.com/triton-lang/triton/issues/3491,open,2024-03-28T15:32:49Z,2024-04-03T18:26:45Z,performance,nan_inf|dtype_casting|crash_compile|performance_only,nan_inf,compiler_codegen|async_race_ordering|hardware_backend,16,"For the following triton kernels generated by pytorch, triton generated shared memory stores and loads in the LLVM IR and PTX just before the atomic add operation. <details> ```python from ctypes import c_void_p, c_long import torch import math import random import os import tempfile from math import inf, nan from torch._inductor.hooks import run_intermediate_hooks from torch._inductor.utils import maybe_profile from torch._inductor.codegen.memory_planning import _align as align from torch import device, empty_strided from torch._inductor.codecache import AsyncCompile from torch._inductor.select_algorithm import extern_kernels from torch._inductor.codegen.multi_kernel import MultiKernelCall aten = torch.ops.aten inductor_ops = torch.ops.inductor assert_size_stride = torch._C._dynamo.guards.assert_size_stride empty_strided_cpu = torch._C._dynamo.guards._empty_strided_cpu empty_strided_cuda = torch._C._dynamo.guards._empty_strided_cuda alloc_from_pool = torch.ops.inductor._alloc_from_pool reinterpret_tensor = torch.ops.inductor._reinterpret_tensor async_compile = AsyncCompile() # kernel path: /tmp/torchinductor_isuruf/5e/c5ehw64oxeoeqqjnqn6v3gfy6z5ukksktwihp7jgzg6sujz5umto.py # So..."
github_search,wrong result,triton-lang/triton,741,Wrong results where one of the args is assigned to constant inside the kernel,https://github.com/triton-lang/triton/issues/741,closed,2022-10-05T05:13:27Z,2023-09-22T16:36:06Z,,dtype_casting|crash_compile,dtype_casting,compiler_codegen|async_race_ordering|hardware_backend|reduction_accumulation,16,"This might be related to #714. Repro (comments inside, requires torchdynamo unfortunately), tl;dr if the kernel has `xnumel=<const>` where `xnumel` is also a kernel arg, and <const> is equal to the value of `xnumel` that is passed to the kernel (so should be a no-op, or even if it's used for optimization, shouldn't change results) it produces wrong results. Note that this is using the new runtime, with the old runtime both versions of the kernel produce wrong results. I'm happy to provide generated ptx if needed, or any additional info, given that repro requires dynamo, although to get wrong results minor changes can be made to disable pre-compilation and lose dynamo dependency. ``` from ctypes import c_void_p, c_long import torch import random from torch import empty_strided, as_strided, device from torchinductor.codecache import AsyncCompile aten = torch.ops.aten async_compile = AsyncCompile() import triton import triton.language as tl from torchinductor.triton_ops.autotune import grid from torch._C import _cuda_getCurrentRawStream as get_cuda_stream kernel1 = async_compile.triton(''' import triton import triton.language as tl from torchinductor.ir import ReductionHint from to..."
github_search,nan,triton-lang/triton,8306,Simple kernel generate unexpected NaN on AMD GPU,https://github.com/triton-lang/triton/issues/8306,closed,2025-09-27T06:19:37Z,2025-09-29T23:30:55Z,bug,nan_inf|precision_tolerance|dtype_casting,nan_inf,hardware_backend|reduction_accumulation|environment_configuration,16,"### Describe the bug For the kernel in the following script: ``` # https://gist.github.com/shunting314/8a4352c5b9b6a43b0a2ad4e97703ed8e this version pass on h100 with or without CALL_LOG import torch from torch._dynamo.testing import rand_strided import triton.language as tl import triton from torch._inductor.runtime.triton_helpers import math as tl_math, libdevice import os torch.manual_seed(1337) N, M, S = 5120, 640, 896 x0 = rand_strided((N, M), (S, 1), device=""cuda"", dtype=torch.bfloat16) x1 = torch.randint(10, 131768, (N,), device=""cuda"", dtype=torch.int64) CALL_LOG = os.getenv(""CALL_LOG"", ""1"") == ""1"" def fx_call(x0, x1): tmp1 = x0.float() tmp3 = x1.float()[:, None] tmp9 = tmp3 + 1.0 if CALL_LOG: tmp10 = tmp9.log() else: tmp10 = tmp9 tmp14 = tmp1 * tmp10 return tmp14.bfloat16() @triton.jit def triton_kernel(in_ptr0, in_ptr1, out_ptr0, xnumel, XBLOCK: tl.constexpr, CALL_LOG: tl.constexpr): xoffset = tl.program_id(0) * XBLOCK xindex = xoffset + tl.arange(0, XBLOCK) xmask = xindex < xnumel x0 = (xindex % 640) x1 = xindex // 640 tmp0 = tl.load(in_ptr0 + (x0 + 896*x1), xmask).to(tl.float32) tmp2 = tl.load(in_ptr1 + (x1), xmask, eviction_policy='evict_last') tmp1 = tmp0.to(tl.flo..."
github_search,overflow,jax-ml/jax,34455,integer overflow in `jnp.clip` with unsigned ints,https://github.com/jax-ml/jax/issues/34455,open,2026-01-17T20:47:37Z,2026-03-03T13:40:22Z,bug,overflow_underflow|dtype_casting,overflow_underflow,hardware_backend|api_semantics|environment_configuration,15,"### Description Caught in https://github.com/data-apis/array-api-tests/pull/410 : when `clip` receives a `uint64` array and python scalar `max` which is in range of uint64 but overflows int64, it reports an internal overflow: ``` (array-api) ev-br@qgpu3:~$ JAX_ENABLE_X64=true ipython Python 3.11.0 | packaged by conda-forge | (main, Jan 14 2023, 12:27:40) [GCC 11.3.0] Type 'copyright', 'credits' or 'license' for more information IPython 8.32.0 -- An enhanced Interactive Python. Type '?' for help. In [1]: import jax.numpy as jnp In [2]: kw = {'min': 0, 'max': 9223372036854775808} In [3]: jnp.clip(jnp.asarray(0, dtype=jnp.uint64), **kw) WARNING:2026-01-17 20:43:18,604:jax._src.xla_bridge:850: An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu. --------------------------------------------------------------------------- OverflowError Traceback (most recent call last) Cell In[3], line 1 ----> 1 jnp.clip(jnp.asarray(0, dtype=jnp.uint64), **kw) [... skipping hidden 5 frame] File ~/.conda/envs/array-api/lib/python3.11/site-packages/jax/_src/pjit.py:671, in _infer_input_type(fun, dbg_fn, explicit_args) 669 dbg = dbg_fn() 670 arg_p..."
github_search,incorrect result,pytorch/pytorch,173068,[Inductor] Triton convolution template produces incorrect results for non-1x1 kernels,https://github.com/pytorch/pytorch/issues/173068,open,2026-01-22T09:37:52Z,2026-03-19T08:01:28Z,high priority|triage review|triaged|oncall: pt2|module: inductor|PT2-Bug-Bash,precision_tolerance,precision_tolerance,compiler_codegen,15,"The Triton convolution template in TorchInductor produces incorrect results for convolutions with kernel sizes larger than 1x1. This is due to a known Triton loop unrolling issue (triton-lang/triton#1254). ## Error `test_convolution1` in `test/inductor/test_select_algorithm.py` fails with: AssertionError: Incorrect result from choice TritonTemplateCaller( BLOCK_K=16, BLOCK_M=1024, BLOCK_N=16, GROUPS=1, KERNEL_H=3, KERNEL_W=3, PADDING_H=4, PADDING_W=5, STRIDE_H=2, STRIDE_W=3, UNROLL=False ) Mismatched elements: 19584 / 23120 (84.7%) Greatest absolute difference: 132.32015991210938 at index (0, 22, 4, 13) ## To Reproduce python test/inductor/test_select_algorithm.py TestSelectAlgorithm.test_convolution1 Root Cause The Triton conv template (torch/_inductor/kernel/conv.py) uses UNROLL=is_ones(kernel_shape), meaning non-1x1 kernels use a non-unrolled loop pattern. This triggers incorrect results due to triton-lang/triton#1254. cc @ezyang @gchanan @kadeng @msaroufim @chauhang @penguinwu @voznesenskym @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @muchulee8 @amjames @aakhundov @coconutruben @jataylo"
github_search,wrong result,pytorch/pytorch,183861,LayerNorm/RMSNorm's gamma beta backward kernel produced wrong results on AMD RDNA GPUs,https://github.com/pytorch/pytorch/issues/183861,open,2026-05-15T06:59:59Z,2026-05-15T14:07:05Z,triage review|module: autograd|module: nn|module: rocm|module: regression|module: correctness (silent)|module: norms and normalization|bot-triaged,nan_inf|overflow_underflow|crash_compile|performance_only,nan_inf,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend|reduction_accumulation|environment_configuration,15,"I was testing things on my Strix Halo GPU and noticed some NaN/Inf in the result. I tracked it down to wrong results from LayerNorm/RMSNorm. It's caused by these 2 problems: ### 1. Hardcoded warp size In `aten/src/ATen/native/cuda/layer_norm_kernel.cu`, `LaunchGammaBetaBackwardCUDAKernel()` has block_dim_x hardcoded https://github.com/pytorch/pytorch/blob/8eae40c58fc6016823374479779646557fb2ac7c/aten/src/ATen/native/cuda/layer_norm_kernel.cu#L965-L969 This assume all AMD GPUs use 64 threads per warp (or ""wavefront"" in AMD's terminology). This is only correct for AMD's GCN/CDNA (e.g. Instinct) GPUs. RDNA GPUs use 32 (same as Nvidia/CUDA which is always 32). ### 2. Mixed usage of logical thread blocks and hardware warps In `aten/src/ATen/native/cuda/layer_norm_kernel.cu`, `GammaBetaBackwardCUDAKernelTemplate()` used thread blocks everywhere except when it's doing the gradient partial sum reductions, it used the hardware warp coordinates. https://github.com/pytorch/pytorch/blob/8eae40c58fc6016823374479779646557fb2ac7c/aten/src/ATen/native/cuda/layer_norm_kernel.cu#L849-L871 Because of the hardcoded 64 warp size, on Strix Halo GPU (which uses 32 wide warps), two warps are dispatched..."
