source,source_query,repository,issue_number,title,url,state,created_at,updated_at,github_labels,candidate_failure_labels,candidate_primary_failure,candidate_cause_labels,priority_score,body_excerpt
github_search_external_partial,nan,vllm-project/vllm,42684,[Bug]: native Triton top-k/top-p kernel assumes contiguous logits,https://github.com/vllm-project/vllm/issues/42684,open,2026-05-14T21:52:33Z,2026-05-16T12:03:00Z,bug,nan_inf|dtype_casting|crash_compile,nan_inf,memory_mask_bounds|hardware_backend|reduction_accumulation|api_semantics|environment_configuration,17,"### Your current environment vLLM Version: 0.20.1 PyTorch: 2.11.0+cu130 Triton: 3.6.0 CUDA available: True GPU: NVIDIA GH200 120GB Driver: 565.57.01 OS: SUSE Linux Enterprise Server 15 SP6 (aarch64) ### 🐛 Describe the bug `vllm/v1/sample/ops/topk_topp_triton.py::_topk_topp_kernel` computes row pointers as `LOGITS + row_id * VOCAB_SIZE`. That is correct only for contiguous logits. The wrapper `apply_top_k_top_p_triton` checks rank and dtype but **does not check contiguity**, so when the wrapper is handed a logits tensor with `stride(0) != vocab_size` (e.g. a sliced padded-vocab view), the kernel reads the wrong physical row. This is observable end-to-end via `processed_logprobs`: the kernel can mask a logical row to all `-inf`, `logits.log_softmax(dim=-1, dtype=torch.float32)` then emits NaN, and JSON serialization fails with: ``` ValueError: Out of range float values are not JSON compliant: nan ``` The FlashInfer path already defends against this. `vllm/v1/sample/ops/topk_topp_sampler.py::forward_cuda` calls `flashinfer_sample(logits.contiguous(), ...)`, with an inline comment noting fp32 inference + logits-processor slicing can produce non-contiguous logits. `forward_native` do..."
github_search_external_partial,bfloat16,vllm-project/vllm,33704,[Bug]: LoRA dtype mismatch in XPU and CPU punica wrappers,https://github.com/vllm-project/vllm/issues/33704,open,2026-02-03T15:18:40Z,2026-03-07T10:35:17Z,,precision_tolerance|dtype_casting,precision_tolerance,hardware_backend|environment_configuration,15,"## Your current environment - vLLM version: main branch - Platform: GPU / XPU / CPU ## Description The punica wrappers and LoRA layer implementations hardcode `torch.float32` for intermediate buffers in `add_lora_linear` and `add_lora_logits`, regardless of the input tensor dtype. This causes dtype mismatches when using bfloat16 models with LoRA. ## Root Cause The original code had comments referencing Triton issue #[1387](https://github.com/triton-lang/triton/pull/1387) which required float32 buffers for the Triton kernels. However, this issue has been resolved in Triton (May 2025, see: Triton https://github.com/triton-lang/triton/pull/6519) and the float32 constraint is no longer necessary. ## Affected code **punica_gpu.py** (lines ~241 and ~299): ```python # Current (incorrect): buffer = torch.empty(..., dtype=torch.float32, device=x.device) # should change to: buffer = torch.empty(..., dtype=x.dtype, device=x.device) ``` **punica_xpu.py** (lines ~211 and ~270): Same issue. **punica_cpu.py** (lines ~305 and ~345): Same issue. **column_parallel_linear.py** (line ~44): ```python buffers = torch.zeros(..., dtype=torch.float32, device=x.device) # Should be x.dtype ``` **row_paral..."
github_search_external_partial,nan,NVIDIA/cutlass,3128,[BUG] The MLA-FP8 results from running CuteDSL on Thor are incorrect.,https://github.com/NVIDIA/cutlass/issues/3128,open,2026-03-24T16:09:03Z,2026-04-23T16:38:14Z,bug|? - Needs Triage|inactive-30d|CuTe DSL,nan_inf|precision_tolerance|dtype_casting,nan_inf,hardware_backend,14,"### Which component has the problem? CuTe DSL ### Bug Report Env - jetson thor - CUDA 13.0 - nvidia-cutlass-dsl-libs-cu13 4.4.2 ``` python mla_decode_fp8.py --batch_size 4 --latent_dim 512 --rope_dim 64 --num_heads 128 --seq_len_q 1 --seq_len_k 1024 --in_dtype Float8E4M3FN --out_dtype Float8E4M3FN --acc_dtype Float32 --lse_dtype Float32 --is_var_seq --is_var_split_kv --is_persistent Running Blackwell MLA test with: batch_size: 4 seq_len_q: 1 seq_len_k: 1024 num_heads: 128 latent_dim: 512 rope_dim: 64 in_dtype: Float8E4M3FN out_dtype: Float8E4M3FN acc_dtype: Float32 mma_qk_tiler_mn: (128, 128) mma_pv_tiler_mn: (128, 256) split_kv: -1 is_persistent: True is_var_seq: True is_var_split_kv: True page_size: 128 softmax_scale: 0.0416 output_scale: 1.0 skip_correction_threshold: 0.0 tolerance: 0.01 warmup_iterations: 0 iterations: 1 skip_ref_check: False use_cold_l2: False ..... assert_close raise error_metas[0].to_error(msg) AssertionError: Tensor-likes are not close! Mismatched elements: 262144 / 262144 (100.0%) Greatest absolute difference: nan at index (0, 0, 0, 0) (up to 0.13 allowed) Greatest relative difference: nan at index (0, 0, 0, 0) (up to 1e-05 allowed) ```"
github_search_external_partial,inf,NVIDIA/cccl,3937,[DOC]: Add cuda_parallel example of using reduce_into to compute minimum and maximum values of an array at once,https://github.com/NVIDIA/cccl/issues/3937,closed,2025-02-25T18:15:03Z,2025-02-25T22:46:15Z,,nan_inf|dtype_casting,nan_inf,hardware_backend|reduction_accumulation,13,"### Is this a duplicate? - [x] I confirmed there appear to be no [duplicate issues](https://github.com/NVIDIA/cccl/issues) for this bug and that I agree to the [Code of Conduct](CODE_OF_CONDUCT.md) ### Is this for new documentation, or an update to existing docs? New ### Describe the incorrect/future/missing documentation The example could be based on the following snippet: ```python import cupy as cp import numpy as np import cuda.parallel.experimental.algorithms as algorithms import cuda.parallel.experimental.iterators as iterators from cuda.parallel.experimental.struct import gpu_struct @gpu_struct class MinMax: min_val: np.float64 max_val: np.float64 def minmax_op(v1: MinMax, v2: MinMax): c_min = min(v1.min_val, v2.min_val) c_max = max(v1.max_val, v2.max_val) return MinMax(c_min, c_max) def embedding_op(v): return MinMax(v, v) nelems = 4096 d_in = cp.random.randn(nelems) tr_it = iterators.TransformIterator(d_in, embedding_op) d_out = cp.empty(tuple(), dtype=MinMax.dtype) # initial value set with identity elements of # minumum and maximum operators h_init = MinMax(np.inf, -np.inf) # get algorithm object cccl_sum = algorithms.reduce_into(tr_it, d_out, minmax_op, h_init) # allo..."
github_search_external_partial,precision,vllm-project/vllm,37854,[Bug]: NGC vLLM 26.02 rejects Nemotron-3-Super-120B-A12B-NVFP4 — quant_algo MIXED_PRECISION not in whitelist,https://github.com/vllm-project/vllm/issues/37854,open,2026-03-23T05:32:19Z,2026-04-01T04:10:47Z,,precision_tolerance|dtype_casting|performance_only,precision_tolerance,hardware_backend|reduction_accumulation|environment_configuration,12,"### Your current environment <details> <summary>Environment</summary> ```text Hardware: NVIDIA DGX Spark (GB10, 128 GB unified memory, aarch64, SM 12.1) Container: nvcr.io/nvidia/vllm:26.02-py3 vLLM: 0.15.1+befbc472 (NVIDIA Release 26.02, build 270699521) CUDA: 13.1 (forward compat mode, driver 590.48.01, kernel driver 580.142) PyTorch: 2.11.0a0+eb65b36914.nv26.2 ``` `collect_env.py` was not run because vLLM crashes before initialization completes. </details> ### 🐛 Describe the bug `nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4` cannot be served on a DGX Spark using the current NGC vLLM container. The model's `config.json` (produced by modelopt 0.43.0) sets `quant_algo: ""MIXED_PRECISION""`, which vLLM 0.15.1 rejects against a hardcoded whitelist. The FP8 variant does not fit in 128 GB unified memory (~120 GB weights alone), so the NVFP4 variant is the only viable path for single-Spark deployment. **Reproduction:** ```bash docker run --gpus all --rm --ipc=host \ -v /path/to/hf-cache:/root/.cache/huggingface \ nvcr.io/nvidia/vllm:26.02-py3 \ vllm serve nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4 \ --dtype auto --kv-cache-dtype fp8 --tensor-parallel-size 1 \ --attention-backend ..."
github_search_external_partial,dtype,vllm-project/vllm,39451,[Feature]: Support sparse in-place weight updates in weight transfer API,https://github.com/vllm-project/vllm/issues/39451,open,2026-04-09T20:57:55Z,2026-04-17T05:36:02Z,feature request,dtype_casting,dtype_casting,memory_mask_bounds|hardware_backend|api_semantics,12,"### 🚀 The feature, motivation and pitch In online RL, the trainer periodically syncs updated weights to a vLLM inference server. After a single optimizer step, typically >99% of bf16 elements are unchanged. We'd like to transfer and apply only the delta. ### Problem `receive_weights` operates on full dense tensors. For each parameter, it allocates the full shape and broadcasts the entire tensor: ```python # nccl_engine.py — receive_weights for name, dtype_name, shape in zip(update_info.names, update_info.dtype_names, update_info.shapes): weight = torch.empty(shape, dtype=dtype, device=""cuda"") self.model_update_group.broadcast(weight, src=0) load_weights([(name, weight)]) ``` There's no way to say ""here are the 0.3% of elements that changed — apply them in-place."" This forces us to keep a full CPU bf16 snapshot on the vLLM side to reconstruct dense tensors from sparse patches before calling `load_weights`. ### Possible API A sparse variant that broadcasts only indices + values, then scatters directly into the existing GPU parameter: ```python # Sparse path — broadcast only the delta indices = torch.empty(nnz, dtype=torch.int32, device=""cuda"") values = torch.empty(nnz, dtype=dtype..."
github_search_external_partial,dtype,vllm-project/vllm,40094,[Bug]: Turbo Quant keep failing TRITON_ATTN 'kv_cache_dtype not supported',https://github.com/vllm-project/vllm/issues/40094,open,2026-04-17T04:16:04Z,2026-05-04T20:56:14Z,bug,overflow_underflow|dtype_casting,overflow_underflow,memory_mask_bounds|async_race_ordering|hardware_backend|reduction_accumulation|environment_configuration,12,"### Your current environment ```text Collecting environment information... ============================== System Info ============================== OS : Ubuntu 22.04.5 LTS (x86_64) GCC version : (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0 Clang version : Could not collect CMake version : version 3.22.1 Libc version : glibc-2.35 ============================== PyTorch Info ============================== PyTorch version : 2.11.0+cu130 Is debug build : False CUDA used to build PyTorch : 13.0 ROCM used to build PyTorch : N/A XPU used to build PyTorch : N/A ============================== Python Environment ============================== Python version : 3.12.13 (main, Mar 4 2026, 09:23:07) [GCC 11.4.0] (64-bit runtime) Python platform : Linux-6.14.0-33-generic-x86_64-with-glibc2.35 ============================== CUDA / GPU Info ============================== Is CUDA available : True CUDA runtime version : 12.4.131 CUDA_MODULE_LOADING set to : GPU models and configuration : GPU 0: NVIDIA L4 Nvidia driver version : 580.126.09 cuDNN version : Could not collect HIP runtime version : N/A MIOpen runtime version : N/A Is XNNPACK available : True ============================== CPU Info =========..."
github_search_external_partial,fp8,vllm-project/vllm,41963,"[ROCm/MI325X] DeepSeek-V4-Flash: Triton fp8_mqa_logits kernel requires 96KB shared memory, MI325X limit is 64KB",https://github.com/vllm-project/vllm/issues/41963,open,2026-05-07T14:01:05Z,2026-05-08T05:53:32Z,rocm,dtype_casting,dtype_casting,compiler_codegen|hardware_backend|reduction_accumulation|environment_configuration,12,"## Environment - **Hardware**: AMD MI325X × 8 (255.98 GiB HBM each) - **vLLM version**: 0.20.2rc1.dev90+g7a576e2c7 (rocm/vllm-dev:nightly, 2026-05-06) - **Model**: deepseek-ai/DeepSeek-V4-Flash - **Config**: TP=8, EP=8, `--kv-cache-dtype fp8`, `--enforce-eager` ## Bug At inference time, the first request fails with a Triton shared memory OOM: ``` triton.runtime.errors.OutOfResources: out of resource: shared memory, Required: 98304, Hardware limit: 65536. Reducing block sizes or `num_stages` may help. ``` Call stack: ``` rocm_aiter_mla_sparse.py:538 → rocm_fp8_mqa_logits aiter/ops/triton/attention/fp8_mqa_logits.py:53 → _fp8_mqa_logits_kernel ``` ## Root Cause The Triton kernel `_fp8_mqa_logits_kernel` in `aiter/ops/triton/attention/fp8_mqa_logits.py` is configured with block sizes that require **96 KB** of LDS (Local Data Share / shared memory). The AMD MI325X GPU supports a maximum of **64 KB** per workgroup. The PR #40871 was developed and tested exclusively on **MI355X**, which appears to support the larger shared memory configuration required by this kernel. ## Impact DeepSeek-V4-Flash is completely non-functional for inference on MI325X. The model loads correctly but crashe..."
github_search_external_partial,precision,HazyResearch/ThunderKittens,88,scaled_matmul.cu produces wrong results by loading the scaling factors wrong,https://github.com/HazyResearch/ThunderKittens/issues/88,open,2025-02-12T10:21:56Z,2025-02-12T10:21:56Z,,precision_tolerance|dtype_casting,precision_tolerance,hardware_backend|environment_configuration,11,"When I tested with the following snippet: ```python M = 128 N = 128 K = 128 slice_ = slice(47, 54) def to_float8_e4m3fn(x: torch.Tensor): scales = x.abs().amax(dim=-1, keepdim=True).float().div(FP8_e4m3_MAX) x = x.div(scales).clamp(min=FP8_e4m3_MIN, max=FP8_e4m3_MAX) x = x.to(torch.float8_e4m3fn) return x, scales A = torch.randn(M, K, device=""cuda"").mul(.3) B = torch.randn(N, K, device=""cuda"").mul(.3) C = torch.empty(M, N, device=""cuda"") A_fp8, scale_a_inv_s = to_float8_e4m3fn(A) B_fp8, scale_b_inv_s = to_float8_e4m3fn(B) tk.fp8_gemm_scaled(A_fp8_tile, B_fp8_tile, C, scale_a_inv_s, scale_b_inv_s) y = torch._scaled_mm( A_fp8, B_fp8.T, out_dtype=torch.bfloat16, scale_a=scale_a_inv_s, # (16, 1) scale_b=scale_b_inv_s.T, # (1, 16) use_fast_accum=True, ) # bias=bias ``` `y` and `C` produces somewhat similar result and yet `y` is always better in terms of closeness with `torch.mm` when the input is not cast to `torch.float8_e4m3fn` (only 17-24% of the elements are better in `C` in terms of numerical precision, not the expected 50% compared to `torch._scaled_mm`). However, if I set ```python scale_a_inv_s.fill_(1) scale_b_inv_s.fill_(2) ``` right after I cast `A` and `B` to `float8_e4m3..."
github_search_external_partial,dtype,NVIDIA/cccl,6715,cuda.compute: Caching bug in functions capturing by global reference,https://github.com/NVIDIA/cccl/issues/6715,open,2025-11-20T19:47:32Z,2026-05-14T23:11:19Z,,dtype_casting,dtype_casting,hardware_backend,11,"Functions that capture by global reference are cached incorrectly, leading to bugs like these: ```python import cuda.compute import numpy as np import cupy as cp num_items = 10 for num in [4, 8]: def function(k): return num input_iter = cp.zeros(num_items, dtype=np.int32) output_iter = cp.empty(num_items, dtype=np.int32) cuda.compute.unary_transform(input_iter, output_iter, function, num_items) np.testing.assert_equal(output_iter.get(), np.full(num_items, num)) ```` Fails with: ``` AssertionError: Arrays are not equal Mismatched elements: 10 / 10 (100%) Max absolute difference among violations: 4 Max relative difference among violations: 0.5 ACTUAL: array([4, 4, 4, 4, 4, 4, 4, 4, 4, 4], dtype=int32) DESIRED: array([8, 8, 8, 8, 8, 8, 8, 8, 8, 8]) ``` The issue is that the values corresponding to `func.__code__.co_names` are not included in the cache key here: https://github.com/NVIDIA/cccl/blob/5f744037905c0aec26c554b6b57c26f1cea50e77/python/cuda_cccl/cuda/compute/_caching.py#L58"
