weak_candidate_label,gold_label,issues
precision_tolerance,dtype_casting,25
crash_compile,dtype_casting,10
needs_review,dtype_casting,8
needs_review,precision_tolerance,8
crash_compile,not_numerical_failure,7
needs_review,not_numerical_failure,6
performance_only,dtype_casting,5
needs_review,overflow_underflow,5
dtype_casting,crash_compile,4
crash_compile,precision_tolerance,4
crash_compile,overflow_underflow,4
performance_only,overflow_underflow,4
performance_only,not_numerical_failure,4
needs_review,nan_inf,3
overflow_underflow,not_numerical_failure,3
precision_tolerance,overflow_underflow,2
overflow_underflow,dtype_casting,2
crash_compile,nan_inf,2
dtype_casting,overflow_underflow,2
precision_tolerance,nan_inf,1
dtype_casting,not_numerical_failure,1
precision_tolerance,not_numerical_failure,1
performance_only,nan_inf,1
