blind_id,repository,issue_number,title,gold_primary_failure,ensemble_prediction,snippet,why_boundary_is_hard
EGNF1000-0077-f00ad38d,pytorch/pytorch,183391,"torch.fmin with CUDA out=int16 casts inputs before computation, producing incorrect result",dtype_casting,precision_tolerance,"The report centers on dtype support, conversion, promotion, or type-specific behavior.","Dtype/type changes are often reported through numerical mismatch tests, making symptom and cause easy to conflate."
EGNF1000-0120-ebe1e750,jax-ml/jax,28416,Unsupported conversion from f8E4M3FN to bf16 with rounding mode rtne,dtype_casting,precision_tolerance,"The report centers on dtype support, conversion, promotion, or type-specific behavior.","Dtype/type changes are often reported through numerical mismatch tests, making symptom and cause easy to conflate."
EGNF1000-0286-9ff0b7af,triton-lang/triton,8322,triton.language.cast from float16 to float8e5 produces different output when TRITON_INTERPRET=1,nan_inf,precision_tolerance,triton.language.cast from float16 to float8e5 produces different output when TRITON_INTERPRET=1 ### Describe the bug Casting from tl.float16 to tl.float8e5 produces different outputs on many numbers (1790 out of 65536; 3836 if including NaN,NaN/Inf symptoms appear inside broader correctness or tolerance failures.
EGNF1000-0304-34da1fd3,jax-ml/jax,19490,`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap`,nan_inf,precision_tolerance,The report explicitly concerns numerical instability in softmax/log_softmax.,NaN/Inf symptoms appear inside broader correctness or tolerance failures.
EGNF1000-0023-c9a13367,pytorch/pytorch,166789,[Flex Flash] Track down why different strided closures,precision_tolerance,dtype_casting,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic.","Precision failures mention fp16/bf16/fp32 or type promotion, which pulls the classifier toward dtype semantics."
EGNF1000-0116-050cd426,jax-ml/jax,26684,Pallas `matmul` doesn't match `jnp.matmul` with `interpret=True`,precision_tolerance,dtype_casting,Pallas matmul produces results that do not match jnp.matmul.,"Precision failures mention fp16/bf16/fp32 or type promotion, which pulls the classifier toward dtype semantics."
EGNF1000-0055-b43608f4,numba/numba,7916,Silently incorrect compilation involving nested functions and asserts,crash_compile,precision_tolerance,Silently incorrect compilation involving nested functions and asserts This is a very nasty bug that leads to silently incorrect compilation.,Compiler/runtime errors can be triggered by correctness tests whose title emphasizes numerical mismatch.
EGNF1000-0227-0d31e64e,jax-ml/jax,37412,jaxlib: malformed pickled PyTreeDef can crash flatten_up_to,crash_compile,precision_tolerance,"The dominant user-visible failure is a compile, build, runtime exception, or crash.",Compiler/runtime errors can be triggered by correctness tests whose title emphasizes numerical mismatch.
EGNF1000-0034-fbd5bace,rapidsai/cudf,5694,[BUG] cudf.read_csv doesn't detect byte order mark (BOM) at start of file.,not_numerical_failure,crash_compile,The issue does not show an explicit numerical correctness failure.,Support/API/environment reports include technical stack traces or dtype words despite not being numerical defects.
EGNF1000-0211-58897d8f,pytorch/pytorch,163462,GroupedMM triton template IMAs on B200,not_numerical_failure,crash_compile,The issue does not show an explicit numerical correctness failure.,Support/API/environment reports include technical stack traces or dtype words despite not being numerical defects.
EGNF1000-0257-f1fa726d,apache/tvm,6486,TVM v0.7 Release Note Candidate,not_numerical_failure,dtype_casting,"This is a release note candidate, not an issue reporting failure behavior.",Support/API/environment reports include technical stack traces or dtype words despite not being numerical defects.
EGNF1000-0508-87d6352f,jax-ml/jax,17176,Support FP8 GEMM kernels which are already support in OpenXLA.,not_numerical_failure,dtype_casting,The issue is a support request for FP8 GEMM kernels.,Support/API/environment reports include technical stack traces or dtype words despite not being numerical defects.
