audit_id,blind_id,repository,issue_number,url,title,github_labels,person_a_primary_failure,person_a_is_true_numerical_failure,person_a_confidence,person_a_evidence_quote,person_a_notes,person_b_primary_failure,person_b_is_true_numerical_failure,person_b_confidence,person_b_evidence_quote,person_b_notes,adjudicated_primary_failure,adjudicated_is_true_numerical_failure,adjudicated_confidence,adjudication_reason
EG-AUDIT-001,EGNF1000-0234-1b786da9,apache/tvm,18003,https://github.com/apache/tvm/issues/18003,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend,type: bug|needs-triage,nan_inf,yes,high,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend ### Expected behavior The output of the TVM CPU backend should be identical with those of onnxruntime and TVM CUDA backend.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=needs_review.,nan_inf,yes,high,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend ### Expected behavior The output of the TVM CPU backend should be identical with those of onnxruntime and TVM CUDA backend.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=needs_review.,precision_tolerance,yes,high,The report describes inconsistent numerical outputs across backends rather than NaN/Inf.
EG-AUDIT-002,EGNF1000-0248-2c868e0f,apache/tvm,18155,https://github.com/apache/tvm/issues/18155,[Bug] Error occurred during tvm compilation,type: bug|needs-triage,crash_compile,no,high,[Bug] Error occurred during tvm compilation Thanks for participating in the TVM community!,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,precision_tolerance,yes,high,[Bug] Error occurred during tvm compilation Thanks for participating in the TVM community!,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The dominant failure is an error during TVM compilation.
EG-AUDIT-003,EGNF1000-0300-ae0dbb2d,apache/tvm,18708,https://github.com/apache/tvm/issues/18708,[Bug] compile error,type: bug|needs-triage,crash_compile,no,medium,[Bug] compile error /home/richard/data/tvm-build/tvm/src/runtime/contrib/hipblas/hipblas_utils.h:116:8: error: unknown type name 'hipblasDatatype_t'; did you mean 'hipblasDiagType_t'?,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,medium,[Bug] compile error /home/richard/data/tvm-build/tvm/src/runtime/contrib/hipblas/hipblas_utils.h:116:8: error: unknown type name 'hipblasDatatype_t'; did you mean 'hipblasDiagType_t'?,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The evidence shows a compile error with an unknown type name.
EG-AUDIT-004,EGNF1000-0301-85c7ebc9,apache/tvm,2692,https://github.com/apache/tvm/issues/2692,[RFC] Winograd NNPACK for the ARM_CPU backend,,crash_compile,no,high,Here are the reasons: - We're restricted to AOT compilation and can only ship one model (packed with TVM generated code) to all android devices.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,precision_tolerance,yes,high,Here are the reasons: - We're restricted to AOT compilation and can only ship one model (packed with TVM generated code) to all android devices.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,not_numerical_failure,no,medium,The issue is an RFC/backend support discussion rather than a numerical failure report.
EG-AUDIT-005,EGNF1000-0225-164bae54,cupy/cupy,5846,https://github.com/cupy/cupy/issues/5846,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument,issue-checked,nan_inf,yes,high,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument Upon investigating https://github.com/rapidsai/cuml/issues/4167 @Nanthini10 discovered that cupy seems to have an error: This code: `import numpy as np im,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,nan_inf,yes,high,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument Upon investigating https://github.com/rapidsai/cuml/issues/4167 @Nanthini10 discovered that cupy seems to have an error: This code: `import numpy as np im,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The main symptom is a RuntimeError with cudaErrorInvalidValue.
EG-AUDIT-006,EGNF1000-0235-d348a4b1,cupy/cupy,8395,https://github.com/cupy/cupy/issues/8395,cupy-cuda11x==13.2.0 fails to detect GPU,issue-checked,nan_inf,yes,high,"cupy-cuda11x==13.2.0 fails to detect GPU ### Description I installed cupy-cuda11x==13.2.0, using the following command",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,nan_inf,yes,high,"cupy-cuda11x==13.2.0 fails to detect GPU ### Description I installed cupy-cuda11x==13.2.0, using the following command",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,"The issue is GPU detection failure, not numerical incorrectness."
EG-AUDIT-007,EGNF1000-0259-82d3afb2,cupy/cupy,8342,https://github.com/cupy/cupy/issues/8342,cupy do not suport two axis operation?,issue-checked,nan_inf,yes,high,py D:\CTRec_Cupy\lib\site-packages\cupy\cuda\compiler.py:103: UserWarning: Failed to auto-detect cl.exe path: <class 'distutils.errors.DistutilsPlatformError'>: No Microsoft Visual C++ version found warnings.warn(f'Failed to auto-detect cl.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,nan_inf,yes,high,py D:\CTRec_Cupy\lib\site-packages\cupy\cuda\compiler.py:103: UserWarning: Failed to auto-detect cl.exe path: <class 'distutils.errors.DistutilsPlatformError'>: No Microsoft Visual C++ version found warnings.warn(f'Failed to auto-detect cl.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,medium,The evidence points to compiler/toolchain detection failure.
EG-AUDIT-008,EGNF1000-0260-43ecbb7d,cupy/cupy,9103,https://github.com/cupy/cupy/issues/9103,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim',issue-checked,crash_compile,no,medium,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim' ### Description I discovered that this older version of cupy cannot access the cudnn function 'getConvolution2dForwardOutputDi,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=compiler_codegen.,crash_compile,no,medium,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim' ### Description I discovered that this older version of cupy cannot access the cudnn function 'getConvolution2dForwardOutputDi,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=compiler_codegen.,crash_compile,no,high,The main symptom is an AttributeError for a missing cuDNN function.
EG-AUDIT-009,EGNF1000-0266-7b0a0d67,cupy/cupy,5208,https://github.com/cupy/cupy/issues/5208,Compilation Error,issue-checked,crash_compile,no,medium,"Compilation Error - CuPy version: 8.0.0 - OS/Platform: Ubuntu - CUDA version: 10.2 - cuDNN/NCCL version: 7.6.5.32/ 2.9.8.1 I am running code from the following recently popular [repository](https://github.com/d-li14/involution), and I am ge",Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,medium,"Compilation Error - CuPy version: 8.0.0 - OS/Platform: Ubuntu - CUDA version: 10.2 - cuDNN/NCCL version: 7.6.5.32/ 2.9.8.1 I am running code from the following recently popular [repository](https://github.com/d-li14/involution), and I am ge",Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The report is explicitly a compilation error.
EG-AUDIT-010,EGNF1000-0267-487d92a1,cupy/cupy,8045,https://github.com/cupy/cupy/issues/8045,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid,issue-checked,crash_compile,no,high,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid ### Description I'm trying using cupy in my docker container.,Person A conservative/root-cause label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid ### Description I'm trying using cupy in my docker container.,Person B symptom-focused/user-facing label; normalized to allowed taxonomy. Source gold draft=crash_compile.,crash_compile,no,high,The issue is an invalid device kernel image error.
