audit_id,blind_id,repository,issue_number,url,title,github_labels,annotator_primary_failure,annotator_is_true_numerical_failure,annotator_confidence,evidence_quote,notes
EG-AUDIT-001,EGNF1000-0234-1b786da9,apache/tvm,18003,https://github.com/apache/tvm/issues/18003,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend,type: bug|needs-triage,nan_inf,yes,high,"python import sys import numpy as np import onnx import onnxruntime import tvm from tvm import relax from tvm.relax.frontend.onnx import from_onnx import pickle def main(): onnx_model = onnx.load(""a2631.onnx"") shape_onnx_model = onnx.shape_",Person A-style label: explicit NaN/Inf/non-finite symptom. Secondary cues: compiler_codegen.
EG-AUDIT-002,EGNF1000-0248-2c868e0f,apache/tvm,18155,https://github.com/apache/tvm/issues/18155,[Bug] Error occurred during tvm compilation,type: bug|needs-triage,crash_compile,no,high,[Bug] Error occurred during tvm compilation Thanks for participating in the TVM community!,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-003,EGNF1000-0300-ae0dbb2d,apache/tvm,18708,https://github.com/apache/tvm/issues/18708,[Bug] compile error,type: bug|needs-triage,crash_compile,no,high,[Bug] compile error /home/richard/data/tvm-build/tvm/src/runtime/contrib/hipblas/hipblas_utils.h:116:8: error: unknown type name 'hipblasDatatype_t'; did you mean 'hipblasDiagType_t'?,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen|dtype_casting.
EG-AUDIT-004,EGNF1000-0301-85c7ebc9,apache/tvm,2692,https://github.com/apache/tvm/issues/2692,[RFC] Winograd NNPACK for the ARM_CPU backend,,api_feature_request,no,high,[RFC] Winograd NNPACK for the ARM_CPU backend --with @ajtulloch We're working on shipping TVM on android for some internal products that uses 3x3 conv heavily.,Person A-style strict label: request/proposal/support tracker rather than a demonstrated numerical bug.
EG-AUDIT-005,EGNF1000-0225-164bae54,cupy/cupy,5846,https://github.com/cupy/cupy/issues/5846,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument,issue-checked,crash_compile,no,high,RuntimeError: radix_sort: failed on 2nd step: cudaErrorInvalidValue: invalid argument Upon investigating https://github.com/rapidsai/cuml/issues/4167 @Nanthini10 discovered that cupy seems to have an error: This code: `import numpy as np im,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-006,EGNF1000-0235-d348a4b1,cupy/cupy,8395,https://github.com/cupy/cupy/issues/8395,cupy-cuda11x==13.2.0 fails to detect GPU,issue-checked,crash_compile,no,high,CUDA version (from nvcc --version) is:,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-007,EGNF1000-0259-82d3afb2,cupy/cupy,8342,https://github.com/cupy/cupy/issues/8342,cupy do not suport two axis operation?,issue-checked,crash_compile,no,high,py D:\CTRec_Cupy\lib\site-packages\cupy\cuda\compiler.py:103: UserWarning: Failed to auto-detect cl.exe path: <class 'distutils.errors.DistutilsPlatformError'>: No Microsoft Visual C++ version found warnings.warn(f'Failed to auto-detect cl.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context.
EG-AUDIT-008,EGNF1000-0260-43ecbb7d,cupy/cupy,9103,https://github.com/cupy/cupy/issues/9103,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim',issue-checked,crash_compile,no,high,cupy-cuda114 v10.6.0 AttributeError: module 'cupy.cuda.cudnn' has no attribute 'getConvolution2dForwardOutputDim' ### Description I discovered that this older version of cupy cannot access the cudnn function 'getConvolution2dForwardOutputDi,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-009,EGNF1000-0266-7b0a0d67,cupy/cupy,5208,https://github.com/cupy/cupy/issues/5208,Compilation Error,issue-checked,crash_compile,no,high,"Compilation Error - CuPy version: 8.0.0 - OS/Platform: Ubuntu - CUDA version: 10.2 - cuDNN/NCCL version: 7.6.5.32/ 2.9.8.1 I am running code from the following recently popular [repository](https://github.com/d-li14/involution), and I am ge",Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
EG-AUDIT-010,EGNF1000-0267-487d92a1,cupy/cupy,8045,https://github.com/cupy/cupy/issues/8045,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid,issue-checked,crash_compile,no,high,CUDA_ERROR_INVALID_SOURCE: device kernel image is invalid ### Description I'm trying using cupy in my docker container.,Person A-style strict label: explicit stack trace/build/import/runtime failure is prioritized over possible numerical context. Secondary cues: compiler_codegen.
