blind_id,repository,issue_number,url,annotator_a_primary,annotator_b_primary,annotator_a_causes,annotator_b_causes,gold_primary_failure,gold_secondary_cause_labels_pipe_separated,gold_is_true_numerical_failure,gold_evidence_quote,adjudicator_id,adjudication_notes
GNF-0001-f56f80f3,triton-lang/triton,2176,https://github.com/triton-lang/triton/issues/2176,dtype_casting,not_numerical_failure,api_semantics,memory_mask_bounds|compiler_codegen|hardware_backend,dtype_casting,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,yes,"dtype(""fp32""), core",human_adjudicator_01,"Resolved disagreement: A=dtype_casting (unclear), B=not_numerical_failure (no); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0002-16e149fe,pytorch/pytorch,167082,https://github.com/pytorch/pytorch/issues/167082,dtype_casting,dtype_casting,compiler_codegen|hardware_backend,memory_mask_bounds|compiler_codegen|hardware_backend,dtype_casting,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,float8_e4m3fn type conversion fails with torch,human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0003-eaa63fac,rapidsai/cudf,13748,https://github.com/rapidsai/cudf/issues/13748,precision_tolerance,needs_review,reduction_accumulation|async_race_ordering,async_race_ordering|hardware_backend|reduction_accumulation,dtype_casting,memory_mask_bounds|async_race_ordering|hardware_backend|api_semantics,yes,[BUG] Intermittent failures in test_jaccard_index_random_strings,human_adjudicator_01,"Resolved disagreement: A=precision_tolerance (unclear), B=needs_review (unclear); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0004-e5162a33,pytorch/pytorch,100085,https://github.com/pytorch/pytorch/issues/100085,dtype_casting,crash_compile,reduction_accumulation|api_semantics,compiler_codegen|hardware_backend|reduction_accumulation,dtype_casting,compiler_codegen|hardware_backend|reduction_accumulation|api_semantics,yes,norm with out dtype bfloat16 cause runtime error ### 🐛 Describe the bug As per torch,human_adjudicator_01,"Resolved disagreement: A=dtype_casting (yes), B=crash_compile (unclear); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0005-80aeca70,cupy/cupy,6715,https://github.com/cupy/cupy/issues/6715,overflow_underflow,overflow_underflow,reduction_accumulation|hardware_backend,compiler_codegen|hardware_backend|reduction_accumulation,overflow_underflow,compiler_codegen|hardware_backend|reduction_accumulation|api_semantics,yes,Wrong overflow with matmul of uint16 arrays ### Description The following arrays give an appar,human_adjudicator_01,A/B agreed on overflow_underflow; adjudicator accepted after evidence check.
GNF-0006-82eaa858,jax-ml/jax,16698,https://github.com/jax-ml/jax/issues/16698,dtype_casting,dtype_casting,reduction_accumulation|api_semantics,memory_mask_bounds|async_race_ordering|hardware_backend,dtype_casting,memory_mask_bounds|async_race_ordering|hardware_backend|reduction_accumulation,yes,Casts and operations in bf16 x bf16 -> fp32 matmul ### Description This code is pretty straightforward: ```python i,human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0007-5a435abf,pytorch/pytorch,175156,https://github.com/pytorch/pytorch/issues/175156,precision_tolerance,dtype_casting,async_race_ordering|compiler_codegen,compiler_codegen|async_race_ordering|hardware_backend,dtype_casting,compiler_codegen|async_race_ordering|hardware_backend|api_semantics,yes,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed ### 🐛 Des,human_adjudicator_01,"Resolved disagreement: A=precision_tolerance (yes), B=dtype_casting (yes); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0008-4625af98,rapidsai/cudf,6227,https://github.com/rapidsai/cudf/issues/6227,precision_tolerance,not_numerical_failure,api_semantics,memory_mask_bounds|hardware_backend|api_semantics,dtype_casting,memory_mask_bounds|hardware_backend|api_semantics|environment_configuration,yes,cuIO **Describe the bug** cudf csv writer seems to be truncating the sub-second level data incase of `datetim64` dtypes.,human_adjudicator_01,"Resolved disagreement: A=precision_tolerance (yes), B=not_numerical_failure (no); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0009-f786b33b,numba/numba,8528,https://github.com/numba/numba/issues/8528,dtype_casting,dtype_casting,memory_mask_bounds|compiler_codegen|hardware_backend,memory_mask_bounds|compiler_codegen|hardware_backend,dtype_casting,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,yes,e typing even if we can't compile # because we may be able to force a cast on the caller side,human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0010-ff390b39,triton-lang/triton,1121,https://github.com/triton-lang/triton/issues/1121,nan_inf,nan_inf,compiler_codegen|hardware_backend|reduction_accumulation,compiler_codegen|hardware_backend|reduction_accumulation,nan_inf,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,il but training with the compiled model does fail (showing `nan` as a loss after the 1st iteration),human_adjudicator_01,A/B agreed on nan_inf; adjudicator accepted after evidence check.
GNF-0011-0a961578,cupy/cupy,9187,https://github.com/cupy/cupy/issues/9187,overflow_underflow,overflow_underflow,memory_mask_bounds|reduction_accumulation,memory_mask_bounds|compiler_codegen|async_race_ordering,overflow_underflow,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,Indexing appears to overflow on cupy arrays when executing cupy,human_adjudicator_01,A/B agreed on overflow_underflow; adjudicator accepted after evidence check.
GNF-0012-d3d20064,numba/numba,2988,https://github.com/numba/numba/issues/2988,not_numerical_failure,performance_only,api_semantics,memory_mask_bounds|compiler_codegen|hardware_backend,performance_only,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,no,c/paper/4390-hogwild-a-lock-free-approach-to-parallelizing-stochastic-gradient-descent) requires atomic floating-point addition,human_adjudicator_01,"Resolved disagreement: A=not_numerical_failure (no), B=performance_only (no); gold set to performance_only with true_numerical_failure=no."
GNF-0013-bd88dbb3,triton-lang/triton,2138,https://github.com/triton-lang/triton/issues/2138,nan_inf,needs_review,memory_mask_bounds|compiler_codegen|hardware_backend,memory_mask_bounds|compiler_codegen|hardware_backend,nan_inf,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,yes,"Using both `padding_option=""zero""` or `padding_option=""nan""` results in the same incorrect result",human_adjudicator_01,"Resolved disagreement: A=nan_inf (yes), B=needs_review (unclear); gold set to nan_inf with true_numerical_failure=yes."
GNF-0014-9fb698b0,pytorch/pytorch,134385,https://github.com/pytorch/pytorch/issues/134385,performance_only,dtype_casting,api_semantics,compiler_codegen|async_race_ordering|hardware_backend,dtype_casting,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,"bfloat16: ""0",human_adjudicator_01,"Resolved disagreement: A=performance_only (no), B=dtype_casting (unclear); gold set to dtype_casting with true_numerical_failure=yes."
GNF-0015-04273d95,pytorch/pytorch,119131,https://github.com/pytorch/pytorch/issues/119131,nan_inf,nan_inf,reduction_accumulation|hardware_backend,memory_mask_bounds|async_race_ordering|hardware_backend,nan_inf,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,"transpose(-2, -1)) print(f""Output has NaN: {torch",human_adjudicator_01,A/B agreed on nan_inf; adjudicator accepted after evidence check.
GNF-0016-7e125a4d,triton-lang/triton,10229,https://github.com/triton-lang/triton/issues/10229,dtype_casting,dtype_casting,compiler_codegen|hardware_backend|reduction_accumulation,compiler_codegen|hardware_backend|reduction_accumulation,dtype_casting,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,yes,"empty(size, dtype=torch",human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0017-f27cd16b,numba/numba,5158,https://github.com/numba/numba/issues/5158,needs_review,needs_review,async_race_ordering|hardware_backend|api_semantics,async_race_ordering|hardware_backend|api_semantics,crash_compile,async_race_ordering|hardware_backend|api_semantics|environment_configuration,unclear,DeviceNDArray.bind() does not seem to bind the stream to self,human_adjudicator_01,A/B agreed on crash_compile; adjudicator accepted after evidence check.
GNF-0018-86e41701,numba/numba,6839,https://github.com/numba/numba/issues/6839,performance_only,performance_only,compiler_codegen|reduction_accumulation|api_semantics,compiler_codegen|reduction_accumulation|api_semantics,dtype_casting,compiler_codegen|async_race_ordering|api_semantics|environment_configuration,yes,lldb -- python3 -m pytest pandas/tests/window/test_numba.py::TestTableMethod::test_table_method_rolling_methods run pandas/tests/window/test_numba.py 0 lldb 0x00000001072bf575 llvm::sys::PrintStackTrace(llvm::raw_ostream,human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0019-965637d3,triton-lang/triton,10106,https://github.com/triton-lang/triton/issues/10106,nan_inf,nan_inf,memory_mask_bounds|compiler_codegen|hardware_backend,memory_mask_bounds|compiler_codegen|hardware_backend,nan_inf,memory_mask_bounds|compiler_codegen|async_race_ordering|hardware_backend,yes,[Bug] gluon warp specialized pipeline load nan from TMA input in certain cases ### Describe the bug I'm working on warp specia,human_adjudicator_01,A/B agreed on nan_inf; adjudicator accepted after evidence check.
GNF-0020-322072f7,cupy/cupy,8260,https://github.com/cupy/cupy/issues/8260,crash_compile,crash_compile,memory_mask_bounds|compiler_codegen|hardware_backend,memory_mask_bounds|compiler_codegen|hardware_backend,dtype_casting,memory_mask_bounds|compiler_codegen|hardware_backend|reduction_accumulation,yes,/home/lucas/mambaforge/envs/scipy-dev/lib/python3.11/site-packages/cupy/cuda/compiler.py:484: in _compile_module_with_cache return _compile_with_cache_cuda( arch = None backend = 'nvrtc' cache_dir = None cache_in_memory ,human_adjudicator_01,A/B agreed on dtype_casting; adjudicator accepted after evidence check.
GNF-0021-ebaa6477,jax-ml/jax,28637,https://github.com/jax-ml/jax/issues/28637,precision_tolerance,precision_tolerance,reduction_accumulation|api_semantics,memory_mask_bounds|hardware_backend|reduction_accumulation,nan_inf,memory_mask_bounds|hardware_backend|environment_configuration,yes,"py import numpy as np import jax.numpy as jnp print(np.linalg.tensorinv(np.full((2, 2), np.nan), 1)) print(jnp.linalg.tensorinv(jnp.full((2, 2), jnp.nan), 1))",human_adjudicator_01,A/B agreed on nan_inf; adjudicator accepted after evidence check.
