blind_id,repository,issue_number,gold_primary_failure,github_state,has_fix_workaround_regression_text,has_pr_or_issue_reference,has_commit_hash_reference,linked_pull_urls,issue_or_pr_refs,commit_refs,fix_context_snippet
GNF-0001-f56f80f3,triton-lang/triton,2176,dtype_casting,open,false,false,false,,,,
GNF-0002-16e149fe,pytorch/pytorch,167082,dtype_casting,open,false,true,true,https://github.com/triton-lang/triton/pull/7904|https://github.com/woct0rdho/triton-windows/pull/140,,0cc8128|3625376340,
GNF-0003-eaa63fac,rapidsai/cudf,13748,dtype_casting,closed,false,false,true,,,15328867496|5657992802,
GNF-0004-e5162a33,pytorch/pytorch,100085,dtype_casting,open,true,false,false,,,,"[regression] torch.norm with out dtype bfloat16 cause runtime error ### 🐛 Describe the bug As per torch.norm documentation, it can take out tensor. If we set out tensor to be bfloat16 and in"
GNF-0005-80aeca70,cupy/cupy,6715,overflow_underflow,closed,false,false,true,,,16777216|70f5331,
GNF-0006-82eaa858,jax-ml/jax,16698,dtype_casting,open,false,false,true,,,00000000,
GNF-0007-5a435abf,pytorch/pytorch,175156,dtype_casting,open,true,true,false,https://github.com/pytorch/pytorch/pull/176842,,,"lent incorrectness, so flagging for triage review. I've opened a draft PR with a proposed fix: [https://github.com/pytorch/pytorch/pull/176842](https://github.com/pytorch/pytorch/pull/176842) The change prevents RNG ops (such as `aten.randint`) from being reordered in `re"
GNF-0008-4625af98,rapidsai/cudf,6227,dtype_casting,closed,false,true,true,,51|6001,00000000|000012323|002342345|004334554|0a200910|20191231|20200225|2342345|4334554|49558bdfa8f493ffc26d435a2f644bc2c092cc21,
GNF-0009-f786b33b,numba/numba,8528,dtype_casting,open,true,true,true,,7871,1286983427|1db1c44be1a541e73269ba12131762891d8410f5|f4b6fe0124fa7734ba2bb28c7685db5b6306c486,"hat kwargs aren't considered when producing the args for compilation, this patch seems to fix it: ```diff diff --git a/numba/cuda/dispatcher.py b/numba/cuda/dispatcher.py --- a/numba/cuda/dispatcher.py +++ b/numba/cuda/dispatcher.py @@ -763,6 +763,7 @@ class CUDADispa"
GNF-0010-ff390b39,triton-lang/triton,1121,nan_inf,open,true,true,true,https://github.com/openai/triton/pull/1070,,1337862259|44dac51|67108864|fae8e8c,"out you say you're using CUDA 12 but your logs say `CUDA runtime version: 11.6.124`.) Workaround: So as noted in the update you actually need pytorch 2.0.0. ``` # use cuda 11.8 version of nvidia's docker image, e.g. cd nanoGPT docker run --gpus all --ipc=host --ulim"
GNF-0011-0a961578,cupy/cupy,9187,overflow_underflow,closed,false,true,true,,35,b38d165c67b9,
