blind_id,repository,issue_number,url,title,github_labels,issue_body_excerpt,comments_excerpt,round2_primary_failure_label,round2_secondary_cause_labels_pipe_separated,round2_is_true_numerical_failure,round2_evidence_quote,round2_confidence_high_medium_low,round2_notes
GNF-0001-f56f80f3,triton-lang/triton,2176,https://github.com/triton-lang/triton/issues/2176,add libdevice.remquo,,"> Compute a double-precision floating-point remainder in the same way as the remainder() function. Argument quo returns part of quotient upon division of x by y. Value quo has the same sign as > and may not be the exact quotient but agrees with the exact quotient in the low order 3 bits. [__nv_remquof](https://docs.nvidia.com/cuda/libdevice-users-guide/__nv_remquof.html) [__nv_remquo](https://docs.nvidia.com/cuda/libdevice-users-guide/__nv_remquo.html) im unsure how to add it because none of the other functions seem to have multiple outputs ```python @impl.extern def remquo(arg0, arg1, arg2, _builder=None): return extern.elementwise(""libdevice"", LIBDEVICE_PATH, [arg0, arg1, arg2, ], {(core.dtype(""fp32""), core.dtype(""fp32""), core.dtype(""int32""),): (""__nv_remquof"", core.dtype(""fp32"")), (core.dtype(""fp64""), core.dtype(""fp64""), core.dtype(""int64""),): (""__nv_remquo"", core.dtype(""fp64"")), }, _builder) ``` results in ``` ValueError: input arg type does not match.Expect one of dict_keys([(triton.language.fp32, triton.language.fp32, triton.language.int32), (triton.language.fp64, triton.language.fp64, triton.language.int64)]), got (triton.language.fp32, triton.language.fp32, triton.language.fp32) ```","Please copy and paste your full script? ```python import torch import timeit device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"") torch.set_default_device(device) # torch.set_default_dtype(torch.float32) DIST_TO_BLACKHOLE = 2.52e20 GALAXY_RADIUS = 4.7e20 STARS_PER_CUBIC_METER = 9.7e-50 # need to be at no closer than 100m apart for int64 # f32 works up to 10km # i think 1024m per tile is probably good # the ever given is 400m long # 20,000m is reall big scifi ship # death star is 200,000m (def not a moon) # conclusion: probably want to use i64 + f64 for position FINE_FMT = dict(dtype=torch.float32) CORSE_FMT = dict(dtype=torch.int32) GRID_SIZE = 1024 # m, about 1km CHANNELS = 3 # lv, lpf, lpc DIMS = 3 COUNT = 2 ** 20 MAX_SPEED = 0.01 NUM_STEPS = 10_000 CORSE_SPAWN_RADIUS = 1024 # 1Mm DELTA_TIME = 0.1 def init_storage(): storage = torch.zeros((COUNT, DIMS, CHANNELS), dtype=torch.float32) # device = torch.device(""cuda"" if torch.cuda.is_available() else ""cpu"") # storage = torch.UntypedStorage(size = 3 * DIMS * COUNT, device= device) print(storage.stride()) linpos_fine, linpos_corse, linvel = storage.unbind(-1) linpos_corse = linpos_corse.view(**CORSE_FMT) # linpos_corse = torch.zeros_like(linpos_fine) # linvel = torch.zeros_like(linvel) # linpos_corse = torch.zeros_like(linpos_corse) print(linpos_corse.stride()) return linpos_fine, linpos_corse, linvel def init_state(linpos_fine, linpos_corse, linvel): linpos_fine.set_((GRID_SIZE * torch.rand(COUNT, DIMS)).to(**FINE_FMT)) # linpos_corse.set_(torch.randint( # -CORSE_SPAWN_RADIUS, CORSE_SPAWN_RADIUS, (COUNT, DIMS), **CORSE_FMT # )) # linvel.set_(( # MAX_SPEED * torch.nn.functional.normalize(torch.rand(COUNT, DIMS) - 1 / 2) # ).to(**FINE_FMT)) linpos_fine, linpos_corse, linvel = init_storage() # start timin...",,,,,,
GNF-0002-16e149fe,pytorch/pytorch,167082,https://github.com/pytorch/pytorch/issues/167082,float8_e4m3fn type conversion fails with torch.compile,triaged|oncall: pt2|module: inductor|upstream triton|module: floatx (formerly float8),"### 🐛 Describe the bug ```python import torch def fn(t, scale): return t.float() * scale compiled_fn = torch.compile(fn, fullgraph=True) t = torch.randn((100, ), device='cuda') scale = torch.tensor(2.5, device='cuda') t = t.to(torch.float8_e4m3fn) print(fn(t, scale)) # success print(compiled_fn(t, scale)) #failure ``` Even though this type isn't natively supported by RTX 3090s, it still can do type conversions (for dequantization and calculations in another type). But if the function is compiled it fails as follows: ``` tensor([ 1.0156, 2.8125, 0.5859, -1.5625, -1.0938, 5.6250, 4.0625, 3.1250, 2.3438, 4.3750, -1.0156, 2.1875, -2.5000, -1.2500, 3.4375, -4.6875, -5.6250, -0.9375, 2.3438, -1.8750, 1.0156, -1.7188, 0.4297, 3.7500, -0.8594, -1.4062, 1.5625, 0.6250, 2.3438, 1.0938, 3.1250, -0.1465, -2.0312, -0.2734, -4.0625, -1.1719, -0.0391, -1.2500, -0.9375, -1.5625, 1.0938, -1.4062, 0.7812, -0.9375, 1.4062, 0.3125, 0.0977, 0.5469, -0.6250, -0.7031, -1.0156, 2.5000, 1.8750, 4.0625, 2.1875, -0.1270, -4.0625, 0.5469, -2.8125, -1.0156, 0.3516, -1.8750, -1.7188, 1.8750, -0.1270, 0.3125, -3.7500, -1.4062, 1.4062, 0.7031, -0.7812, 2.8125, 0.1562, -1.5625, -1.0156, -0.0146, 2.5000, -1.4062, -1.2500, -2.0312, 0.2344, -3.7500, 0.9375, 1.5625, 0.6250, -0.7812, 1.0938, 5.0000, -2.5000, -2.1875, -1.2500, -1.7188, 1.8750, 2.8125, -4.3750, -3.1250, 1.2500, 3.7500, -4.3750, 3.4375], device='cuda:0') E1105 18:09:29.303000 9336 Lib\site-packages\torch\_inductor\runtime\triton_heuristics.py:715] [0/0] Triton compilation failed: triton_poi_fused__to_copy_mul_0 E1105 18:09:29.303000 9336 Lib\site-packages\torch\_inductor\runtime\triton_heuristics.py:715] [0/0] def triton_poi_fused__to_copy_mul_0(in_ptr0, in_ptr1, out_ptr0, xnumel, XBLOCK : tl.constexpr): E1105 18:09:29.303000 9336 Lib\site-...","cc @drisspg If this dtype is not natively supported in your hardware, try `uint8` instead ? > If this dtype is not natively supported in your hardware, try `uint8` instead ? if your model is in fp8 from the start (loaded from disk in fp8), re-quantizing it to an integer datatype introduces further error. 3090s *are* able to convert fp8 to other dtypes, without torch.compile the sample code works on GPU. I think this issue should be reported to triton > I think this issue should be reported to triton could be. or it could be that torch has a specialized kernel for converting float8 to other dtypes for devices that don't natively support float8, implemented via bit manipulation. Then it would be reasonable for Triton to say it this isn't a bug on their part (dtype not supported), but it would be one of torch (assuming the goal of torch.compile is to be able to compile all GPU code). I don't know which one it is. Hi, I've supported it in triton-windows post21: https://github.com/woct0rdho/triton-windows/pull/140 The official Triton once rejected it, but we can ask them again and show there is a broader demand. > I think this issue should be reported to triton Triton do not consider this a bug: https://github.com/triton-lang/triton/pull/7904 @drisspg As we're here, let me ask: Do you think it's ok to let TorchInductor generate some inline PTX or some Triton bit packing ops, rather than the Triton op `cast`, on GPUs with sm < 89, as suggested in https://github.com/triton-lang/triton/issues/8929#issuecomment-3625376340 ? There are many ways to implement this, such as in Triton, or in PyTorch, or a new package like FlagGems or Liger Kernel. I just patched Triton and do this on my computer without problem (and many users of triton-windows are doing this). The problem is to f...",,,,,,
GNF-0003-eaa63fac,rapidsai/cudf,13748,https://github.com/rapidsai/cudf/issues/13748,[BUG] Intermittent failures in test_jaccard_index_random_strings,bug,"**Describe the bug** Occasionally, `test_text_methods.py::test_jaccard_index_random_strings` fails, e.g. https://github.com/rapidsai/cudf/actions/runs/5657992802/job/15328867496?pr=13746 I can also intermittently reproduce locally on trunk. I don't have a debug build, but `racecheck` reports some potential data races: ``` compute-sanitizer --tool=racecheck python -m pytest -v python/cudf/cudf/tests/text/test_text_methods.py::test_jaccard_index_random_strings -x --pdb ========= COMPUTE-SANITIZER ================================================================ test session starts ================================================================ platform linux -- Python 3.10.12, pytest-7.4.0, pluggy-1.2.0 -- /home/wence/Documents/src/rapids/compose/etc/conda/cuda_11.8/envs/rapids/bin/python cachedir: .pytest_cache benchmark: 4.0.0 (defaults: timer=time.perf_counter disable_gc=False min_rounds=5 min_time=0.000005 max_time=1.0 calibration_precision=10 warmup=False warmup_iterations=100000) hypothesis profile 'default' -> database=DirectoryBasedExampleDatabase('/home/wence/Documents/src/rapids/cudf/.hypothesis/examples') rootdir: /home/wence/Documents/src/rapids/cudf/python/cudf/cudf/tests configfile: pytest.ini plugins: xdist-3.3.1, benchmark-4.0.0, anyio-3.7.0, cov-4.1.0, repeat-0.9.1, rerunfailures-11.1.2, hypothesis-6.80.0, cases-3.6.14, timeout-2.1.0 collected 1 item python/cudf/cudf/tests/text/test_text_methods.py::test_jaccard_index_random_strings ========= Warning: Race reported between Write access at 0xf0 in void cuco::detail::pair_retrieve<(unsigned int)128, (unsigned int)32, (unsigned int)2, (unsigned int)96, (bool)1, thrust::transform_iterator<cudf::detail::make_pair_function<cudf::experimental::row::hash::device_row_hasher<cudf::hashing::detail::default_hash, ...","Just to note, I think the data races are real problems, so I reported https://github.com/NVIDIA/cuCollections/issues/336 Thanks! Yeah I agree, they're probably real issues in cuco. They just happen to be red herrings here.",,,,,,
GNF-0004-e5162a33,pytorch/pytorch,100085,https://github.com/pytorch/pytorch/issues/100085,[regression] torch.norm with out dtype bfloat16 cause runtime error,triaged|module: regression|module: norms and normalization,"### 🐛 Describe the bug As per torch.norm documentation, it can take out tensor. If we set out tensor to be bfloat16 and in input to be float32 then it fails with error: ``` RuntimeError: Expected out tensor to have dtype float, but got c10::BFloat16 instead ``` It used to work for PT 1.13. Use below code to reproduce the issue. ``` torch.norm(torch.tensor([3.]), 2, [0], False, out=torch.tensor([], dtype=torch.bfloat16)) ``` ### Versions Name: torch Version: 2.0.0 Summary: Tensors and Dynamic neural networks in Python with strong GPU acceleration Home-page: https://pytorch.org/ Author: PyTorch Team Author-email: [packages@pytorch.org](mailto:packages@pytorch.org) License: BSD-3 Location: /home/jthakur/.pt_2_0/lib/python3.8/site-packages Requires: filelock, jinja2, networkx, nvidia-cublas-cu11, nvidia-cuda-cupti-cu11, nvidia-cuda-nvrtc-cu11, nvidia-cuda-runtime-cu11, nvidia-cudnn-cu11, nvidia-cufft-cu11, nvidia-curand-cu11, nvidia-cusolver-cu11, nvidia-cusparse-cu11, nvidia-nccl-cu11, nvidia-nvtx-cu11, sympy, triton, typing-extensions Required-by: torchaudio, torchvision, triton","cc @lezcano TIL that we allow in most operations to specify an `out=` with a less precise dtype than that of the result. Is this something we want to continue supporting @ezyang @ngimel @albanD ? Note that in PrimTorch we ask for the out dtype larger or equal than that of the result. This is working today for many pw and reduction ops, and this is working in numpy",,,,,,
GNF-0007-5a435abf,pytorch/pytorch,175156,https://github.com/pytorch/pytorch/issues/175156,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,high priority|triaged|module: random|oncall: pt2|module: inductor|PT2-Bug-Bash,"### 🐛 Describe the bug To reproduce: ```python import torch import torch._dynamo torch._inductor.config.fallback_random = True def fn(): torch.manual_seed(0) out = torch.randint(0, 100, (4,1), dtype=torch.int64) # Shape and integer range are not important. other = torch.randint(0, 100, (2,1), dtype=torch.int64) # No inconsistency if remove this line, although the value won't be returned. return out cfunc = torch.compile(fn, backend='inductor') torch.manual_seed(0) out1 = fn() torch.manual_seed(0) out2 = cfunc() print(f'{out1=}') ''' out1=tensor([[44], [39], [33], [60]]) ''' print(f'{out2=}') ''' out2=tensor([[33], [60], [63], [79]]) ''' torch.testing.assert_close(out1, out2, equal_nan=True) ``` Problem: RNG state is inconsistent between eager execution and torch.compile(backend='inductor') execution, even after explicitly resetting the seed with torch.manual_seed(0) before each run. The issue occurs when two randint calls are called inside the compiled function:the output of the first randint already differs between eager and compiled mode, even though the second randint result is not returned. After a few debugging, I notice that the following version does NOT trigger the inconsistency: ```python def fn(): torch.manual_seed(0) out = torch.randint(0, 100, (4,1), dtype=torch.int64) torch.manual_seed(0) # Extra seed reset before second randint other = torch.randint(0, 100, (2,1), dtype=torch.int64) return out ``` The only difference is an extra torch.manual_seed(0) before the second randint. This behavior is bit counterintuitive: We already set the seed before the first `randint`, and the second `randint` does not modify the returned value. However, without setting the second `randint`'s rng seed still causes the first randint output to mismatch between eager and compi...","Reproduced with Inductor only. Not sure if this counts as silent incorrectness, so flagging for triage review. I've opened a draft PR with a proposed fix: [https://github.com/pytorch/pytorch/pull/176842](https://github.com/pytorch/pytorch/pull/176842) The change prevents RNG ops (such as `aten.randint`) from being reordered in `reorder_for_locality`, which can otherwise lead to inconsistent RNG results between eager and compiled execution. I would appreciate a response.",,,,,,
GNF-0008-4625af98,rapidsai/cudf,6227,https://github.com/rapidsai/cudf/issues/6227,[BUG] csv writer truncating timestamp data while writing to csv file,bug|libcudf|cuIO,"**Describe the bug** cudf csv writer seems to be truncating the sub-second level data incase of `datetim64` dtypes. The datetime values in the csv files are being written only upto seconds level precision, thus ignoring any sub-second data. **Steps/Code to reproduce bug** ```python In[64]: gdf = cudf.DataFrame({""a"":cudf.Series([12323, 4334554, 2342345], dtype='datetime64[ns]')}) In[65]: gdf Out[65]: a 0 1970-01-01 00:00:00.000012323 1 1970-01-01 00:00:00.004334554 2 1970-01-01 00:00:00.002342345 In[66]: gdf.to_csv('temp') In[67]: cudf.read_csv('temp') Out[67]: Unnamed: 0 a 0 0 1970-01-01T00:00:00Z 1 1 1970-01-01T00:00:00Z 2 2 1970-01-01T00:00:00Z In[68]: pd.read_csv('temp') Out[68]: Unnamed: 0 a 0 0 1970-01-01T00:00:00Z 1 1 1970-01-01T00:00:00Z 2 2 1970-01-01T00:00:00Z In[69]: gdf.to_pandas().to_csv('temp-pandas') In[70]: pd.read_csv('temp-pandas') Out[70]: Unnamed: 0 a 0 0 1970-01-01 00:00:00.000012323 1 1 1970-01-01 00:00:00.004334554 2 2 1970-01-01 00:00:00.002342345 In[71]: cudf.read_csv('temp-pandas') Out[71]: Unnamed: 0 a 0 0 1970-01-01 00:00:00.000012323 1 1 1970-01-01 00:00:00.004334554 2 2 1970-01-01 00:00:00.002342345 ``` **Expected behavior** Csv writer should be writing out the entire sub-second data incase of `datetime64` dtypes. **Environment overview (please complete the following information)** - Environment location: Bare-metal - Method of cuDF install: from source **Environment details** Please run and paste the output of the `cudf/print_env.sh` script here, to gather any other relevant environment details <details><summary>Click here to see environment details</summary><pre> **git*** commit 49558bdfa8f493ffc26d435a2f644bc2c092cc21 (HEAD -> 6001, origin/6001) Author: galipremsagar <sagarprem75@gmail.com> Date: Mon Sep 14 09:18:36 2020 -0500 replace ...",,,,,,,
GNF-0009-f786b33b,numba/numba,8528,https://github.com/numba/numba/issues/8528,CUDA target overloads not handling kwargs,CUDA|bug - failure to compile|bug - typing,"<!-- Thanks for opening an issue! To help the Numba team handle your information efficiently, please first ensure that there is no other issue present that already describes the issue you have (search at https://github.com/numba/numba/issues?&q=is%3Aissue). --> ## Reporting a bug <!-- Before submitting a bug report please ensure that you can check off these boxes: --> - [x] I have tried using the latest released version of Numba (most recent is visible in the change log (https://github.com/numba/numba/blob/main/CHANGE_LOG). - [x] I have included a self contained code sample to reproduce the problem. i.e. it's possible to run as 'python bug.py'. This: ```python import numpy as np from numba.cuda import jit from numba.extending import overload def bar(): pass @overload(bar, target='cuda') def ol_bar(x, kw1=None): def impl(x, kw1=None): return 123 return impl @jit def foo(arr): arr[0] = bar(2) tmp = np.zeros((1,)) foo[1, 1](tmp) print(tmp) ``` Fails typing with `TypeError(""Signature mismatch: 1 argument types given, but function takes 2 arguments"")`.","The issue seems to be that kwargs aren't considered when producing the args for compilation, this patch seems to fix it: ```diff diff --git a/numba/cuda/dispatcher.py b/numba/cuda/dispatcher.py --- a/numba/cuda/dispatcher.py +++ b/numba/cuda/dispatcher.py @@ -763,6 +763,7 @@ class CUDADispatcher(Dispatcher, serialize.ReduceMixin): # Ensure an exactly-matching overload is available if we can # compile. We proceed with the typing even if we can't compile # because we may be able to force a cast on the caller side. + pysig, args = self._compiler.fold_argument_types(args, kws) if self._can_compile: self.compile_device(tuple(args)) ``` cf. `_DispatcherBase` https://github.com/numba/numba/blob/f4b6fe0124fa7734ba2bb28c7685db5b6306c486/numba/core/dispatcher.py#L359 Notes from triage meeting: - There was a PR that attempted to add kwargs to CUDA, but I wasn't in support of the approach there, because it deviates from the core kwargs mechanism (#7871) - The above patch makes it look like argument folding works, but IIRC it will be incorrect if kwargs are in a different order in the parameter list to those in the declaration. I had an experiment with folding args (using a slightly different method to enable it) in https://github.com/gmarkall/numba/commit/1db1c44be1a541e73269ba12131762891d8410f5 Given that it is hard to make it work in general and maintain parity with the core dispatcher, we probably want to prevent kwargs being used for CUDA overloads. Some additional notes from an OOB discussion. The above one-line patch in https://github.com/numba/numba/issues/8528#issuecomment-1286983427 would potentially ""fix"" the use of `kwargs` when calling from device to device. Some investigation is needed into whether this is indeed the case.",,,,,,
GNF-0012-d3d20064,numba/numba,2988,https://github.com/numba/numba/issues/2988,Support For CPU Atomics,feature_request,"## Feature request It would be great if there were a way to use atomic operations from within numba. Currently atomic operations are only supported when generating cuda or HSA code. I'm currently experimenting with using numba to write callbacks that are provided to a C++ concurrency library. In this context, atomics are useful in that they can reduce the amount of synchronization required (or to write the locks that are actually being used). You can technically use atomic operations now if you hide them inside a function pointer exported from C++, but the performance impacts of doing so aren't clear to me. At first glance, preventing inlining seems like a high price to pay for every atomic operation. With regards to what would be the most useful, weak memory consistency is by far the most common thing that shows up in the applications I'm looking at right now, but what's needed is application specific in general. Other consistencies could potentially be useful to me for being able to acquire/release existing locks without having to route everything through an externally compiled function, but that's more of a secondary concern at the moment.","FYI I was just looking at this and you can achieve it reasonably with https://gist.github.com/sklam/40f25167351832fe55b64232785d036d (renamed to `numba.extending.intrinsics`), but it requires a bit of llvm work. Neat example! I hadn't seen that before. To document a use case for this feature: the [HogWild! algorithm](http://papers.nips.cc/paper/4390-hogwild-a-lock-free-approach-to-parallelizing-stochastic-gradient-descent) requires atomic floating-point addition. While that may be achievable in Numba's CUDA support, we need atomic intrinsics (ideally applicable to NumPy arrays, an intrinsic atomic `arr[i] += x` operation) in order to make such implementations that work without a GPU. Just wanted to add to this, I’ve felt a need for this when I wanted to: * generate large histograms in parallel (too large to give each thread a copy) * perform GraphBLAS-like parallel graph computations Yep, my use-cases involve parallel graph analytics as well. Adding another request for CPU atomics. I'm not sure how multi-dimensional cases are handled, but abstractly if there was an `atomic_add(arr, indx, val)` `atomic_compare_and_swap(arr, index, expected, new)` and an `atomig_get(arr, index)` that would be enough for me to work around a lack of other operations and get stuff working. This would let me get some [n-gram based](https://arxiv.org/abs/1908.00200) parallel computing working and be enough for a lot of common workloads like Hogwild. voting up! Something like CUDA's atomicAdd, atomicMin, etc would be helpful. For the OMP hackend, the ``#pragma omp atomic`` should be of some help? I attempted to write an atomic add using `@intrinsic` about it is held up by https://github.com/numba/numba/issues/6920.",,,,,,
GNF-0013-bd88dbb3,triton-lang/triton,2138,https://github.com/triton-lang/triton/issues/2138,Block pointers `padding_option` bug?,,"Triton version: 2.1.0 (nightly build) GPU used: A6000 ### TLDR: With block pointers, loading a block that spills over a dimension boundary, does not respect the `padding_option` specified. ### Details: Below is a minimal reproducible kernel that sums up column blocks of MxN tensor `X`. Say X is 32x32, column block size is 16. This kernel will output a 2x1 Y tensor which contains the sum of all elements in X[:, 0:16] and X[:, 16:32]. Each kernel program instance handles a column to sum up. The below kernel produces correct results when M is a multiple of `block_size` but incorrect otherwise. Using both `padding_option=""zero""` or `padding_option=""nan""` results in the same incorrect result. The key line below is `x = tl.load(X_block_ptr, boundary_check=(0, 1), padding_option=""zero"")` ``` import torch import triton.language as tl import triton @triton.jit def sum_col_block(X, Y, M, N, num_col_blocks: tl.constexpr, block_size: tl.constexpr, col_block_size: tl.constexpr): # one program to sum up a column block pid = tl.program_id(axis=0) X_block_ptr = tl.make_block_ptr(base=X, shape=(M, N), strides=(N, 1), offsets=(0, pid * col_block_size), block_shape=(block_size, col_block_size), order=(1,0)) acc = tl.zeros((1,1), dtype=tl.float32) for _ in range(0, M, block_size): x = tl.load(X_block_ptr, boundary_check=(0, 1), padding_option=""zero"") s = tl.sum(x, axis=0) s = tl.sum(s, axis=0) acc += s tl.advance(X_block_ptr, (block_size, 0)) Y_block_ptr = tl.make_block_ptr(base=Y, shape=(1, num_col_blocks), strides=(num_col_blocks, 1), offsets=(0, pid), block_shape=(1, 1), order=(1,0)) tl.store(Y_block_ptr, acc) if __name__ == '__main__': # create a MxN matrix with column blocks # filled with different values M = 40 N = 32 col_block_size = 16 assert triton.next_power_of_2(N) == N #asse...","I believe it's not a bug. Try: ` X_block_ptr = tl.advance(X_block_ptr, (block_size, 0))` I am already using that. ``` for _ in range(0, M, block_size): x = tl.load(X_block_ptr, boundary_check=(0, 1), padding_option=""zero"") s = tl.sum(x, axis=0) s = tl.sum(s, axis=0) acc += s tl.advance(X_block_ptr, (block_size, 0)) ``` To clarify, `tl.advance` doesn't have side effects, you need to assign the return value to block_ptr. That fixed it! Thanks :-)",,,,,,
GNF-0014-9fb698b0,pytorch/pytorch,134385,https://github.com/pytorch/pytorch/issues/134385,FlopCounterMode doesn't support HOP,triaged|oncall: pt2|module: higher order operators|module: pt2-dispatcher|module: flop counter,"### 🐛 Describe the bug I'm trying to add micro-benchmark for flex attention, which is implemented by HOP. I use ```torch.utils.flop_counter.FlopCounterMode```, but it doesn't support capture FLOP for HOP. ``` def run_flex_decoding_causal(device: str = ""cuda""): dtype_flops_utilization_map = { torch.bfloat16: ""0.8"", } B = 4 H = 16 D = 64 q_len = [32] kv_len = [1024, 8192] results = [] def causal_mask(batch, head, token_q, token_kv): return token_q >= token_kv for dtype, expected_flops_utilization in dtype_flops_utilization_map.items(): flops_utilization = 0 for seqlen_q in q_len: for seqlen_kv in kv_len: query = torch.randn((B, H, seqlen_q, D), dtype=dtype, device=device, requires_grad=True) key = torch.randn((B, H, seqlen_q, D), dtype=dtype, device=device, requires_grad=True) value = torch.randn((B, H, seqlen_q, D), dtype=dtype, device=device, requires_grad=True) block_mask = create_block_mask(causal_mask, 1, 1, seqlen_q, seqlen_kv) with FlopCounterMode(display=False) as mode: flex_attention(query, key, value, block_mask=block_mask) flops = mode.get_total_flops() compiled_fn = torch.compile(flex_attention, dynamic=False) for _ in range(WARMUP_ITER): compiled_fn(query, key, value, block_mask=block_mask) us_per_iter = benchmarker.benchmark_gpu(lambda: compiled_fn(query, key, value, block_mask=block_mask)) * 1000 flops_utilization += us_per_iter * flops / 1e9 / A100_40G_BF16_TFLOPS flops_utilization = flops_utilization / len(input_shapes) dtype_str = str(dtype).replace(""torch."", """") results.append( Experiment( ""flex_decoding_causal"", ""flops_utilization"", expected_flops_utilization, f""{flops_utilization:.02f}"", dtype_str, device, ) ) return results ``` Error ``` Traceback (most recent call last): File ""/data/users/ybliang/pytorch/benchmarks/gpt_fast/benchmark.py"", line 32...","cc @zou3519 @Chillee You can register a FlopCounterMode formula via HOP.py_impl(FlopCounterMode) Could this simply reuse the formula enabled for `scaled_dot_product_attention`? This issue also affects the `torch.distributed._tools.fsdp2_mem_tracker.FSDPMemTracker` mode seems solved? Please feel free to re-open. > You can register a FlopCounterMode formula via HOP.py_impl(FlopCounterMode) Hi, I am still encountering the ""no rule registered for HOP flex_attention"" error while using **PyTorch 2.6.0**. How can this be resolved? re-open since there's still issue with it cc @zou3519 @bdhirsh > You can register a FlopCounterMode formula via HOP.py_impl(FlopCounterMode) @zou3519 I'm running into this same issue on torch 2.7.1. I have a RoPE triton kernel that I would effectively like to skip counting FLOPS for in both forward and backward but I can't figure out how to use `HigerOrderOperators.py_impl` to disable it I tried something like below ``` def flop_estimator(mode, *args, **kwargs): # Still run the real op return triton_kernel_wrapper_mutation.dispatch(*args, **kwargs) # Register the implementation foo = triton_kernel_wrapper_mutation.py_impl(FlopCounterMode) foo(flop_estimator) ``` to try and get it to just call the underlying implementation of the Triton kernel and not do any of the flop counting stuff. But I end up getting `assert isinstance(k, DispatchKey)`. This seems to come from the `py_impl` of `OperatorBase` which effectively checks `issubclass(FlopCounterMode, TorchDispatchMode)` which rather suprisingly returns False (some metaclass business is breaking issubclass) same problem. any solutions?",,,,,,
