candidate_primary_failure,gold_primary_failure,issues
crash_compile,dtype_casting,10
crash_compile,nan_inf,2
crash_compile,not_numerical_failure,7
crash_compile,overflow_underflow,4
crash_compile,precision_tolerance,4
dtype_casting,crash_compile,4
dtype_casting,dtype_casting,23
dtype_casting,not_numerical_failure,1
dtype_casting,overflow_underflow,2
nan_inf,nan_inf,30
needs_review,dtype_casting,8
needs_review,nan_inf,3
needs_review,not_numerical_failure,6
needs_review,overflow_underflow,5
needs_review,precision_tolerance,8
overflow_underflow,dtype_casting,2
overflow_underflow,not_numerical_failure,3
overflow_underflow,overflow_underflow,20
performance_only,dtype_casting,5
performance_only,nan_inf,1
performance_only,not_numerical_failure,4
performance_only,overflow_underflow,4
performance_only,performance_only,5
precision_tolerance,dtype_casting,25
precision_tolerance,nan_inf,1
precision_tolerance,not_numerical_failure,1
precision_tolerance,overflow_underflow,2
precision_tolerance,precision_tolerance,1
