blind_id,repository,issue_number,title,existing_gold_primary_failure,adjudicated_primary_failure,person_a_primary_failure,person_b_primary_failure,adjudication_reason
EGNF1000-0234-1b786da9,apache/tvm,18003,[Bug] The output of the TVM CPU backend is not identical with those of onnxruntime and TVM CUDA backend,crash_compile,precision_tolerance,nan_inf,nan_inf,The report describes inconsistent numerical outputs across backends rather than NaN/Inf.
EGNF1000-0301-85c7ebc9,apache/tvm,2692,[RFC] Winograd NNPACK for the ARM_CPU backend,crash_compile,not_numerical_failure,crash_compile,precision_tolerance,The issue is an RFC/backend support discussion rather than a numerical failure report.
EGNF1000-0361-3b70906b,cupy/cupy,4660,Catch incompatible CUDA version,crash_compile,not_numerical_failure,crash_compile,crash_compile,"The issue asks for clearer handling of incompatible CUDA versions, not a numerical bug."
EGNF1000-0257-f1fa726d,apache/tvm,6486,TVM v0.7 Release Note Candidate,dtype_casting,not_numerical_failure,nan_inf,nan_inf,"This is a release note candidate, not an issue reporting failure behavior."
EGNF1000-0010-2e91f962,cupy/cupy,8404,ndimage.correlate does not support `mode='grid-constant'`,dtype_casting,crash_compile,dtype_casting,crash_compile,The main issue is unsupported mode behavior that triggers failure rather than wrong numeric values.
EGNF1000-0666-8c31e9dd,cupy/cupy,9106,CUDA_ERROR_NO_BINARY_FOR_GPU ( on 5080 / sm_120),dtype_casting,crash_compile,dtype_casting,crash_compile,The report centers on CUDA_ERROR_NO_BINARY_FOR_GPU and inability to run kernels.
EGNF1000-0709-e6bd073f,cupy/cupy,1198,"`cupy.cuda.function.Function` expects `grid` & `block` as (w, h) but convention is (h, w)",dtype_casting,not_numerical_failure,nan_inf,nan_inf,"The issue concerns API grid/block ordering conventions, not numerical correctness."
EGNF1000-0116-050cd426,jax-ml/jax,26684,Pallas `matmul` doesn't match `jnp.matmul` with `interpret=True`,dtype_casting,precision_tolerance,dtype_casting,dtype_casting,Pallas matmul produces results that do not match jnp.matmul.
EGNF1000-0208-5fa50305,jax-ml/jax,36008,cudnn dot_product_attention backward drops manual sharding axes inside shard_map,dtype_casting,crash_compile,dtype_casting,crash_compile,The sharding-axis issue appears to be an execution/compiler failure rather than a clear numeric mismatch.
EGNF1000-0304-34da1fd3,jax-ml/jax,19490,`log_softmax` and `softmax` are not numerically stable with `where` argument inside `vmap`,dtype_casting,nan_inf,nan_inf,nan_inf,The report explicitly concerns numerical instability in softmax/log_softmax.
