blind_id,repository,issue_number,title,annotator_a_primary,annotator_b_primary,annotator_a_true_failure,annotator_b_true_failure,gold_primary_failure,gold_is_true_numerical_failure,gold_evidence_quote,calibration_focus
GNF-0001-f56f80f3,triton-lang/triton,2176,add libdevice.remquo,dtype_casting,not_numerical_failure,unclear,no,dtype_casting,yes,"dtype(""fp32""), core",primary_label_disagreement
GNF-0002-16e149fe,pytorch/pytorch,167082,float8_e4m3fn type conversion fails with torch.compile,dtype_casting,dtype_casting,yes,unclear,dtype_casting,yes,float8_e4m3fn type conversion fails with torch,true_failure_or_confidence_disagreement
GNF-0003-eaa63fac,rapidsai/cudf,13748,[BUG] Intermittent failures in test_jaccard_index_random_strings,precision_tolerance,needs_review,unclear,unclear,dtype_casting,yes,[BUG] Intermittent failures in test_jaccard_index_random_strings,primary_label_disagreement
GNF-0004-e5162a33,pytorch/pytorch,100085,[regression] torch.norm with out dtype bfloat16 cause runtime error,dtype_casting,crash_compile,yes,unclear,dtype_casting,yes,norm with out dtype bfloat16 cause runtime error ### 🐛 Describe the bug As per torch,primary_label_disagreement
GNF-0007-5a435abf,pytorch/pytorch,175156,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed ### 🐛 Des,primary_label_disagreement
GNF-0008-4625af98,rapidsai/cudf,6227,[BUG] csv writer truncating timestamp data while writing to csv file,precision_tolerance,not_numerical_failure,yes,no,dtype_casting,yes,cuIO **Describe the bug** cudf csv writer seems to be truncating the sub-second level data incase of `datetim64` dtypes.,primary_label_disagreement
GNF-0009-f786b33b,numba/numba,8528,CUDA target overloads not handling kwargs,dtype_casting,dtype_casting,yes,unclear,dtype_casting,yes,e typing even if we can't compile # because we may be able to force a cast on the caller side,true_failure_or_confidence_disagreement
GNF-0012-d3d20064,numba/numba,2988,Support For CPU Atomics,not_numerical_failure,performance_only,no,no,performance_only,no,c/paper/4390-hogwild-a-lock-free-approach-to-parallelizing-stochastic-gradient-descent) requires atomic floating-point addition,primary_label_disagreement
GNF-0013-bd88dbb3,triton-lang/triton,2138,Block pointers `padding_option` bug?,nan_inf,needs_review,yes,unclear,nan_inf,yes,"Using both `padding_option=""zero""` or `padding_option=""nan""` results in the same incorrect result",primary_label_disagreement
GNF-0014-9fb698b0,pytorch/pytorch,134385,FlopCounterMode doesn't support HOP,performance_only,dtype_casting,no,unclear,dtype_casting,yes,"bfloat16: ""0",primary_label_disagreement
GNF-0017-f27cd16b,numba/numba,5158,DeviceNDArray.bind() does not seem to bind the stream to self,needs_review,needs_review,unclear,unclear,crash_compile,unclear,DeviceNDArray.bind() does not seem to bind the stream to self,true_failure_or_confidence_disagreement
GNF-0023-93595bc9,cupy/cupy,9907,`cupyx.scipy.special.erfcx` not working,dtype_casting,crash_compile,yes,unclear,crash_compile,unclear,guess_routine TypeError: Wrong type ((<class 'numpy,primary_label_disagreement
GNF-0029-5f61e128,rapidsai/cudf,16029,"[QST] TypeError: Argument 'real' has incorrect type (expected numpy.ndarray, got ndarray)",precision_tolerance,crash_compile,yes,unclear,not_numerical_failure,no,[QST] TypeError: Argument 'real' has incorrect type (expected numpy,primary_label_disagreement
GNF-0030-a4314978,pytorch/pytorch,181146,torch.compile: autograd.Function.apply with aliased inputs drops per-slot gradient contributions,precision_tolerance,nan_inf,yes,yes,nan_inf,yes,"rifted, and a downstream `MulBackward0` eventually produced NaN",primary_label_disagreement
GNF-0031-dff9514d,numba/numba,3203,numba.cuda.detect() feature request,not_numerical_failure,performance_only,no,no,dtype_casting,yes,TCC Performance: Host to Device; Device to Host; Host to Host; Single-precision float; Double-precision float; Fron Nsight Monitor: WDDM TDR Delay; WDDM TDR En,primary_label_disagreement
GNF-0033-1f6d8975,triton-lang/triton,10176,"When upcasting bf16 to fp32 inside the kernel, triton uses TF32 path despite I pass input_precision=""ieee""",precision_tolerance,dtype_casting,yes,yes,dtype_casting,yes,"float32)`, looks like triton will fallback to TF32 precision",primary_label_disagreement
GNF-0034-77cd048a,triton-lang/triton,1302,RuntimeError: Triton Error [CUDA]: an illegal memory access was encountered,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"full((BLOCK_HEIGHT, K_DIM), value=1, dtype=tl",primary_label_disagreement
GNF-0035-1d6522c2,pytorch/pytorch,166131,Return a view from tensor(requires_grad=False) in autograd function may cause incorrect requires_grad attribute.,precision_tolerance,not_numerical_failure,yes,no,precision_tolerance,yes,view from tensor(requires_grad=False) in autograd function may cause incorrect requires_grad attribute,primary_label_disagreement
GNF-0036-b3e8f03a,jax-ml/jax,37001,Auto sharding constraint fails on multi-process jobs,dtype_casting,crash_compile,unclear,unclear,dtype_casting,yes,"ll( send_contiguous->opaque(), recv_contiguous->opaque(), ToNcclCount(dtype, count), nccl_dtype, comm_, AsCudaStream(stream)) failed: unhandled system erro",primary_label_disagreement
