blind_id,repository,issue_number,title,weak_label,annotator_a,annotator_b,gold_label,gold_evidence_quote,why_difficult
GNF-0001-f56f80f3,triton-lang/triton,2176,add libdevice.remquo,precision_tolerance,dtype_casting,not_numerical_failure,dtype_casting,"dtype(""fp32""), core","Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0003-eaa63fac,rapidsai/cudf,13748,[BUG] Intermittent failures in test_jaccard_index_random_strings,performance_only,precision_tolerance,needs_review,dtype_casting,[BUG] Intermittent failures in test_jaccard_index_random_strings,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0004-e5162a33,pytorch/pytorch,100085,[regression] torch.norm with out dtype bfloat16 cause runtime error,dtype_casting,dtype_casting,crash_compile,dtype_casting,norm with out dtype bfloat16 cause runtime error ### 🐛 Describe the bug As per torch,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0006-82eaa858,jax-ml/jax,16698,Casts and operations in bf16 x bf16 -> fp32 matmul,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,Casts and operations in bf16 x bf16 -> fp32 matmul ### Description This code is pretty straightforward: ```python i,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0007-5a435abf,pytorch/pytorch,175156,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed ### 🐛 Des,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0008-4625af98,rapidsai/cudf,6227,[BUG] csv writer truncating timestamp data while writing to csv file,precision_tolerance,precision_tolerance,not_numerical_failure,dtype_casting,cuIO **Describe the bug** cudf csv writer seems to be truncating the sub-second level data incase of `datetim64` dtypes.,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0009-f786b33b,numba/numba,8528,CUDA target overloads not handling kwargs,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,e typing even if we can't compile # because we may be able to force a cast on the caller side,"Prefer dtype_casting when the evidence names dtype, casting, promotion, or low-precision format semantics; prefer precision_tolerance when the dtype is incidental and the issue is primarily a tolerance/reference mismatch."
GNF-0010-ff390b39,triton-lang/triton,1121,Value 'sm_89' is not defined for option 'gpu-name',needs_review,nan_inf,nan_inf,nan_inf,il but training with the compiled model does fail (showing `nan` as a loss after the 1st iteration),Weak search/title labels drifted after full issue/comment context and adjudication.
GNF-0012-d3d20064,numba/numba,2988,Support For CPU Atomics,performance_only,not_numerical_failure,performance_only,performance_only,c/paper/4390-hogwild-a-lock-free-approach-to-parallelizing-stochastic-gradient-descent) requires atomic floating-point addition,Use performance_only when the issue is primarily speed/throughput but still discusses numerical kernels; use not_numerical_failure for search false positives with no correctness/performance numerical task.
GNF-0013-bd88dbb3,triton-lang/triton,2138,Block pointers `padding_option` bug?,nan_inf,nan_inf,needs_review,nan_inf,"Using both `padding_option=""zero""` or `padding_option=""nan""` results in the same incorrect result",Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0014-9fb698b0,pytorch/pytorch,134385,FlopCounterMode doesn't support HOP,dtype_casting,performance_only,dtype_casting,dtype_casting,"bfloat16: ""0",Blind annotators disagreed despite the weak label matching gold; adjudication resolved the boundary case.
GNF-0015-04273d95,pytorch/pytorch,119131,"`scaled_dot_product_attention` produces NaNs for math backend, but not memory efficient backend when used in mixed precision.",precision_tolerance,nan_inf,nan_inf,nan_inf,"transpose(-2, -1)) print(f""Output has NaN: {torch","Prefer nan_inf when non-finite values are the observed symptom; prefer precision_tolerance when NaN/Inf appears only in tests, masks, or tolerance text."
GNF-0017-f27cd16b,numba/numba,5158,DeviceNDArray.bind() does not seem to bind the stream to self,dtype_casting,needs_review,needs_review,crash_compile,DeviceNDArray.bind() does not seem to bind the stream to self,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
GNF-0018-86e41701,numba/numba,6839,BUG: segfault in pandas rolling test,crash_compile,performance_only,performance_only,dtype_casting,lldb -- python3 -m pytest pandas/tests/window/test_numba.py::TestTableMethod::test_table_method_rolling_methods run pandas/tests/window/test_numba.py 0 lldb 0x00000001072bf575 l...,Prefer crash_compile when the user-visible failure is a compiler/runtime exception; use dtype_casting only when type semantics are the central failure.
