root_cause_id,blind_id,repository,issue_number,title,issue_label,root_cause_label,fix_file_category,evidence_quote,confidence,provenance,coding_rationale
RC-ADJ-001,GNF-0098-a1e24269,numba/numba,2451,test case failure ( segmentation fault ) in ppc64le,overflow_underflow,compiler_backend_or_runtime,tests,"tests.npyufunc.test_parallel_ufunc_issues.TestParGUfuncIssues) ... Segmentation fault ``` Any pointers/inputs to resolve the test case failure and if change done in ""requirements.txt"" is correct ? Coincidentally, the Num",high,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-002,GNF-0071-ca4885e3,numba/numba,4954,Running only CUDA tests results in strange crashes / failures,dtype_casting,compiler_backend_or_runtime,tests,ert <sseibert@anaconda.com> Date: Fri Jan 3 11:38:08 2020 -0600 Merge pull request #5024 from stuartarchibald/fix/5015 Propagate semantic constants ahead of static rewrites. ``` This exact commit was working earlier toda,high,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-003,GNF-0103-f835a9bf,jax-ml/jax,4493,Building on linux with ppc64le CPU,precision_tolerance,numerical_algorithm_or_tolerance,build_ci_config,"t you appear to be reading header files outside what it considers to be the standard system paths. I think your best fix here might be to write a small custom Bazel toolchain. As it happens, I show an example of how to d",medium,human_adjudicated_50,"Fix evidence points to numerical logic, accuracy, overflow/underflow, randomness, or tolerance handling."
RC-ADJ-004,GNF-0125-29346792,numba/numba,8464,NumPy 1.24 support,dtype_casting,dtype_or_type_semantics,tests,"I didn't do my leak checking marathon yet. The refcounting error pops up when a test fails, once the actual issues are resolved these generally disappear. (In fact they're already gone in my local branch) Note: I edited",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-005,GNF-0026-8ee693c5,rapidsai/cudf,2283,[BUG] `len` after `fillna` operation uses way more memory than expected,performance_only,performance_or_resource_behavior,core_library,"es? Are individual calls very expensive? If ""yes"" to either of those, then why is that happening? If there is some workaround with `iloc`, then great, but it sounds like there might also be some larger issue here that mi",medium,human_adjudicated_50,"Fix evidence points to speed, memory, synchronization, or resource-use behavior."
RC-ADJ-006,GNF-0100-a235b2dd,triton-lang/triton,2156,type conversion before tl.dot fails compilation,dtype_casting,dtype_or_type_semantics,array_dtype_core,m - bfloat16 -> float32 - repro https://gist.github.com/shunting314/4eb4a6a7d8cbfc6396726518196e26d1 - status: fixed by #2162 - int8 -> float32 - repro https://gist.github.com/shunting314/d164f74f9830239fbe04b1913b690fa0,medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-007,GNF-0057-44d428bb,pytorch/pytorch,109074,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,precision_tolerance,performance_or_resource_behavior,compiler_runtime_backend,wondering if it is possible to release GIL before entering C/C++ land (similar to other PyTorch operations). This would resolve the issue and allow other python threads in the application to recover from the situation. #,medium,human_adjudicated_50,"Fix evidence points to speed, memory, synchronization, or resource-use behavior."
RC-ADJ-008,GNF-0179-0d2d153d,triton-lang/triton,8591,Proton buffer copyout is slower than it needs to be,performance_only,performance_or_resource_behavior,compiler_runtime_backend,ling records. You can try to reduce the buffer size to 128 and I think you will get even lower than 3% overhead. The root cause is in your code is really not that we didn't use multiple threads to write back the profilin,medium,human_adjudicated_50,"Fix evidence points to speed, memory, synchronization, or resource-use behavior."
RC-ADJ-009,GNF-0086-61dd6010,jax-ml/jax,10255,jax.scipy.sparse.linalg.cg inconsistent results between runs,nan_inf,dtype_or_type_semantics,build_ci_config,"atol=atol)` Have you tried using float64? The nondeterministic behavior may come from multithreading. Was this issue resolved? @Dinple I reran the colab repro. On Colab GPU, I get values which are fairly consistently lar",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-010,GNF-0111-4b909a91,pytorch/pytorch,158212,wrong gradients with compiled flex attention,nan_inf,compiler_backend_or_runtime,compiler_runtime_backend,"t from source) - Python: 3.12.11 - GPU: NVIDIA H100 (SM90, 132 SMs) - Conda env: dev - Triton: bundled with PyTorch ## Root Cause: Triton compiler bug in nested tl.where broadcast store The inductor's `floordiv` codegen",medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-011,GNF-0070-0db7eac0,numba/numba,5820,Add back support for atomics that always return the non-NaN values,nan_inf,numerical_algorithm_or_tolerance,core_library,"d on numba of 0.49. Thanks again! Since this seems to be blocking quite a few things downstream I'd like to get this fixed by 0.51.0RC1, hence I updated the Milestone. I'm looking at this now. @gmarkall I've done most of",medium,human_adjudicated_50,"Fix evidence points to numerical logic, accuracy, overflow/underflow, randomness, or tolerance handling."
RC-ADJ-012,GNF-0148-5dbeb416,triton-lang/triton,2513,Understanding Triton GEMM FP8 performance,dtype_casting,non_bug_feature_docs_support,tests,performance seem lower than what I had measured on my H100 as I was able to get over 1.3PF but we haven't enabled perf regression testing on H100 so maybe we did regress. What commit did you use? I realize now that `fp8_,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-013,GNF-0094-5130df2b,triton-lang/triton,6054,Microscaling dtypes in triton?,overflow_underflow,dtype_or_type_semantics,tests,"to 1e-05 allowed) Greatest relative difference: inf at index (0, 3) (up to 0.016 allowed) ``` Update： I found that the root cause of the above problem is that torchao uses the ties round to the nearest even digit strateg",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-014,GNF-0109-5b3bb56e,triton-lang/triton,2688,Encountering FileNotFoundError while Compiling Triton Kernel in Distributed Training,overflow_underflow,compiler_backend_or_runtime,compiler_runtime_backend,"SE_ROCM=OFF, TorchVision: 0.16.0+cu121 OpenCV: 4.8.1 ``` +1 with this issue +1 @HIT-cwh @SolenoidWGT A fix would be making a customized `CacheManager` by setting `os.environ[""TRITON_CACHE_MANAGER""] = '...'`. Reference: h",medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-015,GNF-0020-322072f7,cupy/cupy,8260,Runtime compilation failed - CUDA synchronization primitives are only supported for sm_70 and up,dtype_casting,performance_or_resource_behavior,compiler_runtime_backend,h59595ed_0 conda-forge pkg-config 0.29.2 h36c2ea0_1008 conda-forge pkgutil-resolve-name 1.3.10 pyhd8ed1ab_1 conda-forge platformdirs 4.2.0 pyhd8ed1ab_0 conda-forge pluggy 1.4.0 pyhd8ed1ab_0 conda-forge ply 3.11,medium,human_adjudicated_50,"Fix evidence points to speed, memory, synchronization, or resource-use behavior."
RC-ADJ-016,GNF-0187-2664d182,cupy/cupy,2742,Discussion on multi-GPU support for cuFFT and cuSOLVER,overflow_underflow,non_bug_feature_docs_support,compiler_runtime_backend,Discussion on multi-GPU support for cuFFT and cuSOLVER,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-017,GNF-0002-16e149fe,pytorch/pytorch,167082,float8_e4m3fn type conversion fails with torch.compile,dtype_casting,compiler_backend_or_runtime,array_dtype_core,float8_e4m3fn type conversion fails with torch.compile,medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-018,GNF-0044-58d8c7b3,rapidsai/cudf,13233,[DOC] please update for Cuda 12xx,not_numerical_failure,non_bug_feature_docs_support,docs,"ll the CUDA Toolkit into your WSL system. @bdice that is exactly the problem I was facing but I went ahead and tried to fix it and that error disappeared but I'll try as you say. Thanks! that last line is scary, ``` sudo",medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-019,GNF-0022-a403f994,pytorch/pytorch,179711,[RFC] Optimize persistent reduction with `recompute from cached inputs`,dtype_casting,non_bug_feature_docs_support,compiler_runtime_backend,"per @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @kadeng @muchulee8 @amjames @aakhundov @coconutruben @jataylo To resolve this, we can integrate the heuristic routing directly into Inductor's scheduler and update t",medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-020,GNF-0145-13ae4b2a,rapidsai/cudf,18356,[QST] [Performance in pylibcudf with stream] Unexpected GIL ThreadSync and CUDASync in pylibcudf Parquet Reading,dtype_casting,non_bug_feature_docs_support,build_ci_config,"mage](https://github.com/user-attachments/assets/8668177c-97e8-4487-949b-ec6ddd77f498) However, I am still not able to workaround this issue and I think I will now check with the device buffer cpython code :( > Enabling",medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-021,GNF-0121-d1cf86e9,numba/numba,5998,numba installation on nvidia Jetson,precision_tolerance,non_bug_feature_docs_support,core_library,numba installation on nvidia Jetson,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-022,GNF-0043-75ac4cd1,numba/numba,10325,test failures related to tolerance (corruption / refcounting),nan_inf,numerical_algorithm_or_tolerance,tests,-Construct <esc@users.noreply.github.com> Date: Thu Nov 6 18:19:04 2025 +0100 Merge pull request #10323 from esc/fix/editable_installs fix editable installs ``` conda environment: ``` esc@artemis [numba_3.14] [numba:main,medium,human_adjudicated_50,"Fix evidence points to numerical logic, accuracy, overflow/underflow, randomness, or tolerance handling."
RC-ADJ-023,GNF-0161-43f5b312,rapidsai/cudf,13409,[BUG] Unable to write `timedelta64[s]` type correctly with parquet writer,dtype_casting,dtype_or_type_semantics,array_dtype_core,"/work/2018/02/28/minimal-bug-reports to craft a minimal bug report. This helps us reproduce the issue you're having and resolve the issue more quickly. ```python In [1]: import cudf In [3]: df = cudf.DataFrame({""seconds""",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-024,GNF-0146-2fe36ae1,rapidsai/cudf,19710,[BUG] src/binaryop/binaryop.cpp.o compile failed jitify2 in cuda13,precision_tolerance,compiler_backend_or_runtime,compiler_runtime_backend,rved the same thing there: https://github.com/rapidsai/cudf/pull/19768#issuecomment-3212084205 @pxLi ready to be merged Fix is up here: https://github.com/rapidsai/cudf/pull/19783,medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-025,GNF-0039-1a4af8a4,cupy/cupy,9777,CuPy v14.0.0+ is buggy in a conda env,dtype_casting,non_bug_feature_docs_support,tests,works well. Have submitted this change as a PR: https://github.com/cupy/cupy/pull/9781 Should add have confirmed this fixes the issue with unactivated Conda environments <hr> Longer term - Think it would be worth looking,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-026,GNF-0183-0f27bf2e,triton-lang/triton,1535,Fast Math Support,not_numerical_failure,non_bug_feature_docs_support,core_library,Fast Math Support,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-027,GNF-0060-3368e422,jax-ml/jax,34455,integer overflow in `jnp.clip` with unsigned ints,overflow_underflow,dtype_or_type_semantics,tests,"ta-apis/array-api-tests/pull/410 lands; - a request to document this. This is an edge case of course, and the suggested workaround makes total sense; This hits users very rarely, but when it does, it's well in the ""gnash",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-028,GNF-0123-b044c5aa,jax-ml/jax,24680,DLPack Support for np.uint16 seems broken,dtype_casting,dtype_or_type_semantics,core_library,DLPack Support for np.uint16 seems broken,medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-029,GNF-0010-ff390b39,triton-lang/triton,1121,Value 'sm_89' is not defined for option 'gpu-name',nan_inf,dtype_or_type_semantics,docs,not relevant but just to point out you say you're using CUDA 12 but your logs say `CUDA runtime version: 11.6.124`.) Workaround: So as noted in the update you actually need pytorch 2.0.0. ``` # use cuda 11.8 version of n,medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-030,GNF-0157-7be66b56,cupy/cupy,9272,lsmr with complex linear operator,dtype_casting,dtype_or_type_semantics,build_ci_config,"hon 3.11.13 ``` ### Additional Information _No response_ @rachelglenn Thank you for reporting this issue! It will be fixed in https://github.com/cupy/cupy/pull/9273. Thank you for doing that. It runs now, the only concer",medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-031,GNF-0042-938c1ba1,jax-ml/jax,36766,`jnp.searchsorted` fails with symbolic shapes on the sorted dimension during `jax.export`,overflow_underflow,dtype_or_type_semantics,array_dtype_core,ed array has a symbolic shape and is traced via `jax.export`. The values array having a symbolic shape works fine. The root cause is an eager overflow check in `SearchSorted.__init__`. ```python out_dtype.type(sorted_arr,medium,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-032,GNF-0007-5a435abf,pytorch/pytorch,175156,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,dtype_casting,compiler_backend_or_runtime,core_library,"Not sure if this counts as silent incorrectness, so flagging for triage review. I've opened a draft PR with a proposed fix: [https://github.com/pytorch/pytorch/pull/176842](https://github.com/pytorch/pytorch/pull/176842)",medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-033,GNF-0144-bd760235,rapidsai/cudf,22157,"[FEA] libcudf implementation of ""intuitive"" decimal division",overflow_underflow,non_bug_feature_docs_support,build_ci_config,"[FEA] libcudf implementation of ""intuitive"" decimal division The `libcudf` implementation of decimal division is really fixed-point division, and does not behave intuitively compared with the accepted conventions in (say",medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-034,GNF-0155-6ad1750a,rapidsai/cudf,20484,[FEA]: Change default cudf-polars stream pool policy to `pool`,not_numerical_failure,non_bug_feature_docs_support,core_library,[FEA]: Change default cudf-polars stream pool policy to `pool`,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-035,GNF-0153-0a1f22c0,triton-lang/triton,4172,Triton Error [CUDA]: device kernel image is invalid,overflow_underflow,compiler_backend_or_runtime,compiler_runtime_backend,Triton Error [CUDA]: device kernel image is invalid,medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-036,GNF-0139-08c1b395,pytorch/pytorch,104322,Illegal Memory Access on H100 `TestSparseCompressedTritonKernelsCUDA.test_triton_sampled_addmm_block_size_16_cuda_bfloat16`,overflow_underflow,compiler_backend_or_runtime,tests,Illegal Memory Access on H100 `TestSparseCompressedTritonKernelsCUDA.test_triton_sampled_addmm_block_size_16_cuda_bfloat16`,medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-037,GNF-0159-f17202a4,pytorch/pytorch,182554,Release 2.12 validations checklist and cherry-picks,precision_tolerance,non_bug_feature_docs_support,compiler_runtime_backend,ittent indexing out of bounds `AcceleratorError` https://github.com/pytorch/pytorch/issues/178079 - @hvaara - [ ] [MPS] Fix bool mask handling in 1-pass SDPA decode kernel https://github.com/pytorch/pytorch/pull/182285 -,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-038,GNF-0090-14f882db,rapidsai/cudf,21687,[DOC]: Update dask-cudf for dask-cuda jit-unspilling deprecation.,precision_tolerance,non_bug_feature_docs_support,docs,ain references to it. **Steps taken to verify documentation is incorrect** List any steps you have taken: **Suggested fix for documentation** Detail proposed changes to fix the documentation if you have any.,medium,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-039,GNF-0016-7e125a4d,triton-lang/triton,10229,"Triton NVIDIA backend: 'ttng.tensormap_create' op pipeliner doesn't know how to predicate this op (CUDA 13.0, sm_90 + sm_100)",dtype_casting,compiler_backend_or_runtime,build_ci_config,"ot required: second descriptor, constexpr gate, softmax, running-max state, warp specialization. ## Our reading of the root cause `TritonGPUPipeline` only runs on a `for`-loop when the body has a `tl.dot` (that's the pur",medium,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-040,GNF-0018-86e41701,numba/numba,6839,BUG: segfault in pandas rolling test,dtype_casting,compiler_backend_or_runtime,tests,"you have multiple python threads running `@njit(parallel=True)` functions, either may end up in the invalid state. The ""fix"" here is to use a threading backend that is itself threadsafe, TBB and OpenMP are, there's more",high,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-041,GNF-0079-ec781ba7,triton-lang/triton,2398,`realloc(): invalid pointer` when parsing when Triton is built with clang,overflow_underflow,compiler_backend_or_runtime,tests,_64-cpython-3.11/bin/triton-opt+0x1c0bfe1) ``` I got the test MLIR by running one of the Triton Python tests with a patch to output the temp file that's created with Triton MLIR. ``` $ git diff diff --git a/python/src/tr,high,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-042,GNF-0150-3c830fbd,triton-lang/triton,2301,'block_pointer' is slower than 'pointer block',dtype_casting,performance_or_resource_behavior,build_ci_config,etic: ![image](https://github.com/openai/triton/assets/9093549/90ebcc7f-4fdd-4693-962b-c074a9b2cbcb) With x_size=64 fixed ![image](https://github.com/openai/triton/assets/9093549/5a15d8ca-9201-445d-be7d-f018d791c8f7) Thi,medium,human_adjudicated_50,"Fix evidence points to speed, memory, synchronization, or resource-use behavior."
RC-ADJ-043,GNF-0124-5e35db0b,pytorch/pytorch,117844,torch.fft.rfft: Unsupported dtype BFloat16,overflow_underflow,dtype_or_type_semantics,array_dtype_core,"diff --git a/aten/src/ATen/native/SpectralOps.cpp b/aten/src/ATen/native/SpectralOps.cpp index 91a0c3ff8cf..defcfda1e13 100644 --- a/aten/src/ATen/native/SpectralOps.cpp +++ b/aten/src/ATen/native/SpectralOps.cpp @@ -1,3",high,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-044,GNF-0131-4b657811,triton-lang/triton,9375,Can I dynamically index into an array of TensorDescriptors at runtime?,dtype_casting,non_bug_feature_docs_support,compiler_runtime_backend,"** - Code bloat with many descriptors - Not truly dynamic (must know max count at compile time) ### 3. **Pointer-Based Workaround (Without TensorDescriptor)** If you don't strictly need TMA features, fall back to raw poi",high,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-045,GNF-0009-f786b33b,numba/numba,8528,CUDA target overloads not handling kwargs,dtype_casting,compiler_backend_or_runtime,build_ci_config,"kes 2 arguments"")`. The issue seems to be that kwargs aren't considered when producing the args for compilation, this patch seems to fix it: ```diff diff --git a/numba/cuda/dispatcher.py b/numba/cuda/dispatcher.py --- a/",high,human_adjudicated_50,"Fix evidence points to compiler, backend, runtime, build, or GPU execution behavior."
RC-ADJ-046,GNF-0185-120804a6,rapidsai/cudf,20265,[BUG] Integer overflow in write_parquet for large tables.,overflow_underflow,dtype_or_type_semantics,core_library,we end up with `num_frag_in_part == -429497` and then when allocate the row_group_fragments we get nonsense. A minimal fix appears to be: ```diff diff --git a/cpp/src/io/parquet/writer_impl.cu b/cpp/src/io/parquet/writer,high,human_adjudicated_50,"Fix evidence points to dtype conversion, type support, casting, or type semantics."
RC-ADJ-047,GNF-0176-0884dd43,rapidsai/cudf,28,Support for windows?,precision_tolerance,non_bug_feature_docs_support,compiler_runtime_backend,"ld also like to know... There is currently no plans for Windows support, if someone would like to try it and contribute fixes to enable Windows support we would be happy to support. Hi, speaking of the devil, I am trying",low,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-048,GNF-0051-53841ba4,numba/numba,4713,Numba is not detecting the icc_rt libraries when installed with pip,not_numerical_failure,non_bug_feature_docs_support,core_library,"udo ldconfig Don't know how this applies to virtualenvs or per-user installations. @jampekka thanks for posting this workaround, from what you are suggesting, this might be an issue with the `icc_rt` wheel. Hi , @stuarta",low,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
RC-ADJ-049,GNF-0062-3cbef3ba,rapidsai/cudf,3554,cuDF failure when reading Avro files (Cannot parse metadata),nan_inf,numerical_algorithm_or_tolerance,core_library,"mmon ""One size fits all""? Thanks. Same issue with ""Cannot parse metadata"" on certain nested json avros Hi, is there any workaround available which can read nested json data in avro files with cuDF? Not to my knowledge, u",low,human_adjudicated_50,"Fix evidence points to numerical logic, accuracy, overflow/underflow, randomness, or tolerance handling."
RC-ADJ-050,GNF-0107-36abe955,numba/numba,4247,Dead Kernel WSL Debian on np.arctan(),not_numerical_failure,non_bug_feature_docs_support,compiler_runtime_backend,"4% failure rate (7 of 13 attempts) Figured out what's happening, but I can't reproduce it. The dead kernel is being caused by an out of bounds loop that isn't correctly erroring out. When I fixed the out of bounds loop,",low,human_adjudicated_50,"Evidence indicates a feature, documentation, support, or environment request rather than a defect root cause."
