blind_id,repository,issue_number,title,previous_gold_primary_failure,v2_gold_primary_failure,source,changed
GNF-0003-eaa63fac,rapidsai/cudf,13748,[BUG] Intermittent failures in test_jaccard_index_random_strings,dtype_casting,crash_compile,adjudication_300,true
GNF-0005-80aeca70,cupy/cupy,6715,Wrong overflow with matmul of uint16 arrays,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0007-5a435abf,pytorch/pytorch,175156,[inductor] Multiple randint calls cause inconsistent RNG results between eager and compiled mode after fixing the rng seed,dtype_casting,crash_compile,adjudication_300,true
GNF-0008-4625af98,rapidsai/cudf,6227,[BUG] csv writer truncating timestamp data while writing to csv file,dtype_casting,dtype_casting,adjudication_300,false
GNF-0010-ff390b39,triton-lang/triton,1121,Value 'sm_89' is not defined for option 'gpu-name',nan_inf,nan_inf,adjudication_300,false
GNF-0012-d3d20064,numba/numba,2988,Support For CPU Atomics,performance_only,not_numerical_failure,adjudication_300,true
GNF-0015-04273d95,pytorch/pytorch,119131,"`scaled_dot_product_attention` produces NaNs for math backend, but not memory efficient backend when used in mixed precision.",nan_inf,nan_inf,adjudication_300,false
GNF-0017-f27cd16b,numba/numba,5158,DeviceNDArray.bind() does not seem to bind the stream to self,crash_compile,crash_compile,adjudication_300,false
GNF-0019-965637d3,triton-lang/triton,10106,[Bug] gluon warp specialized pipeline load nan from TMA input in certain cases,nan_inf,nan_inf,adjudication_300,false
GNF-0020-322072f7,cupy/cupy,8260,Runtime compilation failed - CUDA synchronization primitives are only supported for sm_70 and up,dtype_casting,crash_compile,adjudication_300,true
GNF-0023-93595bc9,cupy/cupy,9907,`cupyx.scipy.special.erfcx` not working,crash_compile,crash_compile,adjudication_300,false
GNF-0025-d23b5aed,numba/numba,8891,Error when calling `nb.generated_jit` from CUDA,nan_inf,not_numerical_failure,adjudication_300,true
GNF-0026-8ee693c5,rapidsai/cudf,2283,[BUG] `len` after `fillna` operation uses way more memory than expected,performance_only,performance_only,adjudication_300,false
GNF-0029-5f61e128,rapidsai/cudf,16029,"[QST] TypeError: Argument 'real' has incorrect type (expected numpy.ndarray, got ndarray)",not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0030-a4314978,pytorch/pytorch,181146,torch.compile: autograd.Function.apply with aliased inputs drops per-slot gradient contributions,nan_inf,precision_tolerance,adjudication_300,true
GNF-0031-dff9514d,numba/numba,3203,numba.cuda.detect() feature request,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0033-1f6d8975,triton-lang/triton,10176,"When upcasting bf16 to fp32 inside the kernel, triton uses TF32 path despite I pass input_precision=""ieee""",dtype_casting,dtype_casting,adjudication_300,false
GNF-0035-1d6522c2,pytorch/pytorch,166131,Return a view from tensor(requires_grad=False) in autograd function may cause incorrect requires_grad attribute.,precision_tolerance,precision_tolerance,adjudication_300,false
GNF-0037-7af727c1,rapidsai/cudf,16578,[BUG] compute-sanitizer failure on `gtests/PARQUET_TEST` preventing its use in code reading parquet files,not_numerical_failure,crash_compile,adjudication_300,true
GNF-0039-1a4af8a4,cupy/cupy,9777,CuPy v14.0.0+ is buggy in a conda env,dtype_casting,dtype_casting,adjudication_300,false
GNF-0042-938c1ba1,jax-ml/jax,36766,`jnp.searchsorted` fails with symbolic shapes on the sorted dimension during `jax.export`,overflow_underflow,crash_compile,adjudication_300,true
GNF-0043-75ac4cd1,numba/numba,10325,test failures related to tolerance (corruption / refcounting),nan_inf,precision_tolerance,adjudication_300,true
GNF-0044-58d8c7b3,rapidsai/cudf,13233,[DOC] please update for Cuda 12xx,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0046-21fccfc5,jax-ml/jax,3411,Initial benchmarking of jax on some simple kernels,dtype_casting,performance_only,adjudication_300,true
GNF-0051-53841ba4,numba/numba,4713,Numba is not detecting the icc_rt libraries when installed with pip,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0052-c0b07407,jax-ml/jax,36886,shard_map + grad produces unexpected results on multi-device,dtype_casting,dtype_casting,adjudication_300,false
GNF-0054-d98d7afd,rapidsai/cudf,2543,"[BUG] dask_cudf, groupby mean is numerically instable",not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0055-6da9303a,numba/numba,2011,improve cuda gufunc: multiple output arguments,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0056-d1d1b50f,triton-lang/triton,6748,pointer should use int64 as its latent operating data type by default to avoid overflow,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0057-44d428bb,pytorch/pytorch,109074,torch.compile/triton holding GIL during compilation and CompiledKernel call results in deadlocks during distributed training,precision_tolerance,performance_only,adjudication_300,true
GNF-0061-039345f1,pytorch/pytorch,156786,[inductor] [cpu] `torch.nn.Embedding-torch.index_copy` outputs inconsistent results on cpu inductor,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0062-3cbef3ba,rapidsai/cudf,3554,cuDF failure when reading Avro files (Cannot parse metadata),nan_inf,crash_compile,adjudication_300,true
GNF-0063-a5f90bd9,pytorch/pytorch,142388,User-defined way to hook into Inductor autotuning (+ custom op),not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0064-6c864f3b,triton-lang/triton,211,Comparison with @jax.jit?,overflow_underflow,not_numerical_failure,adjudication_300,true
GNF-0066-103332ec,pytorch/pytorch,169146,bad numerics for variable length attention with cudnn,dtype_casting,precision_tolerance,adjudication_300,true
GNF-0068-abb65bf7,numba/numba,7324,fast_matmul in docs example not working properly - returning wrong results,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0071-ca4885e3,numba/numba,4954,Running only CUDA tests results in strange crashes / failures,dtype_casting,crash_compile,adjudication_300,true
GNF-0072-9fba4417,rapidsai/cudf,7088,[BUG] Overflow ints with nulls is being inferred as float column in CSV reader,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0073-9d1db2bf,pytorch/pytorch,182928,[Inductor] Filter extremely bad triton configs by device information for triton heuristics,crash_compile,crash_compile,adjudication_300,false
GNF-0074-c730bac3,jax-ml/jax,30874,Conda Installation with Cuda,not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0076-60dcd2da,rapidsai/cudf,3797,[BUG] Python avro unit test sporadically segfaults,not_numerical_failure,crash_compile,adjudication_300,true
GNF-0077-892468a4,triton-lang/triton,5065,triton 3.0.0 got FP8 GEMM precision issue with CUDA sm89,dtype_casting,dtype_casting,adjudication_300,false
GNF-0079-ec781ba7,triton-lang/triton,2398,`realloc(): invalid pointer` when parsing when Triton is built with clang,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0080-d86cbc25,rapidsai/cudf,22360,[BUG] cudf-polars streaming-mode broadcast bug,crash_compile,dtype_casting,adjudication_300,true
GNF-0083-c671b943,cupy/cupy,2066,Should introduce NumPy fallback mode,overflow_underflow,overflow_underflow,adjudication_300,false
GNF-0085-b4ddcf4b,rapidsai/cudf,406,cuDF printing mismatches formatting precision of Pandas DF printing,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0087-b5fe68e9,pytorch/pytorch,182952,"hipBLASLt path ignores backward fp16_alt_impl for Half GEMMs, causing FTZ in backward and silent training divergence on gfx90a",dtype_casting,overflow_underflow,adjudication_300,true
GNF-0089-074c6391,cupy/cupy,8697,Creating Array with Pinned Memory fails,dtype_casting,crash_compile,adjudication_300,true
GNF-0090-14f882db,rapidsai/cudf,21687,[DOC]: Update dask-cudf for dask-cuda jit-unspilling deprecation.,precision_tolerance,not_numerical_failure,adjudication_300,true
GNF-0091-f2cd4055,numba/numba,5640,guvectorize-CUDA broadcast fail,dtype_casting,dtype_casting,adjudication_300,false
GNF-0092-350f027f,triton-lang/triton,1670,Functional Regression in Latest Main,nan_inf,nan_inf,adjudication_300,false
GNF-0093-6cb318e0,jax-ml/jax,21708,"ndarray.at.set(mode=""drop"") gives incorrect value for the last element in the array",not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0094-5130df2b,triton-lang/triton,6054,Microscaling dtypes in triton?,overflow_underflow,dtype_casting,adjudication_300,true
GNF-0095-e46f2dc5,pytorch/pytorch,108670,torch.jit.script produces incorrect gradients,precision_tolerance,precision_tolerance,adjudication_300,false
GNF-0096-cc3502f6,numba/numba,7095,numba build fails with TBB,precision_tolerance,not_numerical_failure,adjudication_300,true
GNF-0098-a1e24269,numba/numba,2451,test case failure ( segmentation fault ) in ppc64le,overflow_underflow,crash_compile,adjudication_300,true
GNF-0099-8e08d802,triton-lang/triton,7354,Pipeline failed while executing TritonGPUAllocateWarpGroups,dtype_casting,crash_compile,adjudication_300,true
GNF-0101-ca19a99c,numba/numba,10353,"wsl Linker error log: ERROR 4 in nvvmAddNVVMContainerToProgram, may need newer version of nvJitLink library",not_numerical_failure,crash_compile,adjudication_300,true
GNF-0103-f835a9bf,jax-ml/jax,4493,Building on linux with ppc64le CPU,precision_tolerance,precision_tolerance,adjudication_300,false
GNF-0107-36abe955,numba/numba,4247,Dead Kernel WSL Debian on np.arctan(),not_numerical_failure,not_numerical_failure,adjudication_300,false
GNF-0108-049dae8c,rapidsai/cudf,21095,[BUG] Transpose result of the DataFrame is incorrect,not_numerical_failure,precision_tolerance,adjudication_300,true
GNF-0112-9ee80d72,cupy/cupy,9558,Make CCCL compilation warning-free,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0113-e024c338,cupy/cupy,9785,Create a numpy_cupy_allclose with `NULP` (or similar) mechanism,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0115-bd414dfb,jax-ml/jax,26689,Matrix multiply incorrect for large tensors,precision_tolerance,precision_tolerance,adjudication_300,false
GNF-0116-96b537db,numba/numba,4449,Incorrect output dtype for operations on arrays and scalars,dtype_casting,dtype_casting,adjudication_300,false
GNF-0118-6cddc10b,triton-lang/triton,506,[Feature Request] Support `__pow__` builtin,nan_inf,not_numerical_failure,adjudication_300,true
GNF-0121-d1cf86e9,numba/numba,5998,numba installation on nvidia Jetson,precision_tolerance,not_numerical_failure,adjudication_300,true
GNF-0122-2172f7de,rapidsai/cudf,17448,[BUG] Decimal division loses precision when dividing by decimals with fractional parts,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0123-b044c5aa,jax-ml/jax,24680,DLPack Support for np.uint16 seems broken,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0127-32017a62,cupy/cupy,5424,cupy gives Unknown error,overflow_underflow,crash_compile,adjudication_300,true
GNF-0129-c9f64c60,rapidsai/cudf,10591,[BUG] Passing a list to `StringMethods.strip` puts cuDF into a broken state,nan_inf,nan_inf,adjudication_300,false
GNF-0133-3e76eecf,cupy/cupy,6535,```cupyx.scipy.ndimage.zoom``` returns incorrect values,overflow_underflow,precision_tolerance,adjudication_300,true
GNF-0134-2006d4e1,pytorch/pytorch,180807,[inductor][static launcher] Missing runtime dtype validation for pointer-typed Triton args can silently produce incorrect results,dtype_casting,dtype_casting,adjudication_300,false
GNF-0135-51861a93,pytorch/pytorch,143288,EXCEPTION : /python3.11/distutils/core.py,overflow_underflow,crash_compile,adjudication_300,true
GNF-0136-a301f54e,cupy/cupy,7978,Performance Degradation in CuPy cuFFT: Runtime Increases from 6 Minutes to 10 Hours After Doubling Input Array Size,overflow_underflow,performance_only,adjudication_300,true
GNF-0137-1f5e2c55,cupy/cupy,7058,`cupyx.scipy.sparse.block_diag` working with cupy sparse matrix on GPU,performance_only,performance_only,adjudication_300,false
GNF-0140-0369d89c,triton-lang/triton,187,RuntimeError when running matrix mutliplication example : CUDA: Error- invalid ptx,overflow_underflow,crash_compile,adjudication_300,true
GNF-0142-fd6a822f,jax-ml/jax,32136,`jaxlib.xla_extension.XlaRuntimeError: INTERNAL: unsupported operands type` on f64 but not on f32,overflow_underflow,dtype_casting,adjudication_300,true
GNF-0144-bd760235,rapidsai/cudf,22157,"[FEA] libcudf implementation of ""intuitive"" decimal division",overflow_underflow,not_numerical_failure,adjudication_300,true
GNF-0145-13ae4b2a,rapidsai/cudf,18356,[QST] [Performance in pylibcudf with stream] Unexpected GIL ThreadSync and CUDASync in pylibcudf Parquet Reading,dtype_casting,not_numerical_failure,adjudication_300,true
GNF-0146-2fe36ae1,rapidsai/cudf,19710,[BUG] src/binaryop/binaryop.cpp.o compile failed jitify2 in cuda13,precision_tolerance,crash_compile,adjudication_300,true
GNF-0148-5dbeb416,triton-lang/triton,2513,Understanding Triton GEMM FP8 performance,dtype_casting,performance_only,adjudication_300,true
GNF-0152-d8097288,jax-ml/jax,28547,"`special.betainc`, `stdtr`, and `stdtrit` are very slow",not_numerical_failure,performance_only,adjudication_300,true
GNF-0154-a389b1a4,rapidsai/cudf,15750,[BUG] double free or memory corruption when parsing some JSON,nan_inf,nan_inf,adjudication_300,false
