expansion_id,repository,title,url,original_primary_failure,repaired_primary_failure,repaired_secondary_cause_labels,repair_rule,is_true_numerical_failure,confidence
EGNF1000-0001-826741eb,pytorch/pytorch,Choose rounding mode when casting to dtype,https://github.com/pytorch/pytorch/issues/175409,api_feature_request,not_numerical_failure,compiler_codegen|dtype_casting|precision_tolerance|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0015-981238c6,jax-ml/jax,jnp.cumsum is incorrect when sharding over summing axis on GPUs,https://github.com/jax-ml/jax/issues/21403,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0017-d48c4d74,jax-ml/jax,Passing `DeviceLocalLayout` to `jax.jit` causes incorrect outputs on GPU,https://github.com/jax-ml/jax/issues/23100,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0019-cef0461a,jax-ml/jax,BiCGStab Breakdown on GPU due to Order of Operations (not observed on CPU),https://github.com/jax-ml/jax/issues/32978,needs_review,not_numerical_failure,unknown,needs_review_to_not_numerical_failure,no,low
EGNF1000-0026-e5001a98,rapidsai/cudf,[BUG] Performance regression in cuDF after #14679,https://github.com/rapidsai/cudf/issues/14886,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,high
EGNF1000-0027-217eae8d,rapidsai/cudf,[BUG] Rolling window aggregations are very slow with large windows,https://github.com/rapidsai/cudf/issues/15119,performance_regression,performance_only,unknown,performance_regression_to_performance_only,no,high
EGNF1000-0028-3ed20a82,rapidsai/cudf,[BUG] Consider disabling managed memory in cudf.pandas on WSL2,https://github.com/rapidsai/cudf/issues/16551,needs_review,performance_only,precision_tolerance|performance_regression|api_feature_request,needs_review_to_performance_only,no,low
EGNF1000-0029-4273c759,rapidsai/cudf,[QST] Potential I/O Performance Improvement with cuFile Buffer Registration?,https://github.com/rapidsai/cudf/issues/18309,performance_regression,performance_only,compiler_codegen|api_feature_request,performance_regression_to_performance_only,no,high
EGNF1000-0031-590758a3,rapidsai/cudf,[FEA] Add object-oriented APIs for semi/anti join and rework contains,https://github.com/rapidsai/cudf/issues/19205,api_feature_request,not_numerical_failure,api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0033-6ea50f60,rapidsai/cudf,CUDA reductions should have independent input and output types,https://github.com/rapidsai/cudf/issues/446,api_feature_request,not_numerical_failure,dtype_casting|precision_tolerance|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0039-535fe63b,triton-lang/triton,FP8 GEMM implemented with triton is slower on Ada (SM89),https://github.com/triton-lang/triton/issues/5583,performance_regression,performance_only,compiler_codegen|dtype_casting,performance_regression_to_performance_only,no,high
EGNF1000-0048-cae04f17,numba/numba,help diagnosing a GPU performance issue,https://github.com/numba/numba/issues/4647,needs_review,performance_only,performance_regression,needs_review_to_performance_only,no,low
EGNF1000-0054-622e4ce6,numba/numba,use of @jit and @njit makes function execute with false output,https://github.com/numba/numba/issues/6247,compiler_codegen,not_numerical_failure,compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0108-d1ce6d4d,pytorch/pytorch,DISABLED test_remove_noop_view_dtype_cuda (__main__.GPUTests),https://github.com/pytorch/pytorch/issues/151541,performance_regression,performance_only,compiler_codegen|crash_compile,performance_regression_to_performance_only,no,high
EGNF1000-0114-aeea4c0d,jax-ml/jax,Can't build jaxlib in GH200,https://github.com/jax-ml/jax/issues/21299,needs_review,crash_compile,api_feature_request,needs_review_to_crash_compile,no,low
EGNF1000-0119-0aec2777,jax-ml/jax,xla_gpu_deterministic_ops=true breaks simple indexing in jax,https://github.com/jax-ml/jax/issues/27796,compiler_codegen,not_numerical_failure,precision_tolerance|compiler_codegen,compiler_codegen_to_not_numerical_failure,no,medium
EGNF1000-0129-4493c892,rapidsai/cudf,[BUG] CharacterNormalizer make special token lower case,https://github.com/rapidsai/cudf/issues/20236,needs_review,not_numerical_failure,precision_tolerance,needs_review_to_not_numerical_failure,no,low
EGNF1000-0130-3ad67db1,rapidsai/cuml,[FEA] Model precision with precision_score,https://github.com/rapidsai/cuml/issues/1522,api_feature_request,not_numerical_failure,precision_tolerance|api_semantics,api_feature_request_to_not_numerical_failure,no,medium
EGNF1000-0158-2c5a0cd1,jax-ml/jax,Test failures: numerical error in`tests/qdwh_test.py::QdwhTest::testQdwhWithOnRankDeficientInput5`,https://github.com/jax-ml/jax/issues/18535,needs_review,crash_compile,precision_tolerance|api_feature_request,needs_review_to_crash_compile,no,low
EGNF1000-0166-b67c222e,jax-ml/jax,Gamma variate gradients don't seem to pass check_grads,https://github.com/jax-ml/jax/issues/27349,needs_review,crash_compile,unknown,needs_review_to_crash_compile,no,low
