review_id,blind_id,repository,issue_number,url,title,github_labels,current_gold_primary_failure,candidate_weak_label_prediction,tfidf_linear_svm_prediction,expanded_gold_vote_ensemble_prediction,ensemble_vote_count,ensemble_vote_margin,selection_reasons,adjudicated_primary_failure,adjudicated_is_true_numerical_failure,adjudicated_confidence,adjudication_reason
V2-ADJ-001,GNF-0020-322072f7,cupy/cupy,8260,https://github.com/cupy/cupy/issues/8260,Runtime compilation failed - CUDA synchronization primitives are only supported for sm_70 and up,issue-checked,dtype_casting,crash_compile,crash_compile,crash_compile,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-002,GNF-0089-074c6391,cupy/cupy,8697,https://github.com/cupy/cupy/issues/8697,Creating Array with Pinned Memory fails,cat:enhancement|prio:low,dtype_casting,needs_review,nan_inf,overflow_underflow,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,medium,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-003,GNF-0186-6c92b3b9,cupy/cupy,5328,https://github.com/cupy/cupy/issues/5328,Unexpected error while assigning array element,cat:bug|prio:high,overflow_underflow,crash_compile,crash_compile,crash_compile,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-004,EGNF1000-0778-b65113df,jax-ml/jax,34512,https://github.com/jax-ml/jax/issues/34512,Unsupported ROCm Tests `tests/fused_attention_stablehlo_test.py`,bug|AMD GPU,dtype_casting,needs_review,crash_compile,crash_compile,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-005,EGNF1000-0976-db0ca9f0,jax-ml/jax,34330,https://github.com/jax-ml/jax/issues/34330,Avoid extraneous upcast in backwards pass of dot_general,bug|skill issue,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-006,GNF-0093-6cb318e0,jax-ml/jax,21708,https://github.com/jax-ml/jax/issues/21708,"ndarray.at.set(mode=""drop"") gives incorrect value for the last element in the array",bug,not_numerical_failure,needs_review,not_numerical_failure,nan_inf,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-007,GNF-0142-fd6a822f,jax-ml/jax,32136,https://github.com/jax-ml/jax/issues/32136,`jaxlib.xla_extension.XlaRuntimeError: INTERNAL: unsupported operands type` on f64 but not on f32,bug,overflow_underflow,precision_tolerance,dtype_casting,dtype_casting,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,dtype_casting,yes,high,"The report centers on dtype support, conversion, promotion, or type-specific behavior."
V2-ADJ-008,GNF-0175-551fdc3c,jax-ml/jax,37389,https://github.com/jax-ml/jax/issues/37389,jax.custom_jvp produces non-deterministically wrong results (exact +2 offset) when called via vmap after processing other custom-pytree types in the same process,bug,not_numerical_failure,needs_review,overflow_underflow,dtype_casting,2,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,precision_tolerance,yes,high,"The report centers on wrong numerical output, accuracy, tolerance, nondeterminism, or approximate arithmetic."
V2-ADJ-009,EGNF1000-0946-13e25b18,numba/numba,6465,https://github.com/numba/numba/issues/6465,PPC lowering error from changes on optimization passes,bug|llvm|ISA: POWER,overflow_underflow,precision_tolerance,precision_tolerance,precision_tolerance,2,0,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,crash_compile,no,high,"The dominant user-visible failure is a compile, build, runtime exception, or crash."
V2-ADJ-010,GNF-0031-dff9514d,numba/numba,3203,https://github.com/numba/numba/issues/3203,numba.cuda.detect() feature request,feature_request|CUDA|good first issue,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,3,1,ensemble_disagrees_with_current_gold|candidate_label_disagrees_with_current_gold|low_ensemble_vote_count|low_ensemble_margin|review_priority_class,not_numerical_failure,no,high,The report is primarily a feature or design request rather than a numerical failure.
