labeler,gold_primary_failure,audit_primary_failure,issues
person_a,dtype_casting,nan_inf,11
person_a,overflow_underflow,nan_inf,11
person_a,precision_tolerance,nan_inf,8
person_a,not_numerical_failure,nan_inf,6
person_a,crash_compile,nan_inf,5
person_a,precision_tolerance,dtype_casting,5
person_a,not_numerical_failure,crash_compile,4
person_a,performance_only,nan_inf,3
person_a,performance_only,not_numerical_failure,1
person_a,performance_only,crash_compile,1
person_b,dtype_casting,nan_inf,11
person_b,overflow_underflow,nan_inf,11
person_b,performance_only,dtype_casting,9
person_b,precision_tolerance,nan_inf,8
person_b,not_numerical_failure,nan_inf,6
person_b,crash_compile,nan_inf,5
person_b,precision_tolerance,dtype_casting,5
person_b,crash_compile,precision_tolerance,3
person_b,dtype_casting,crash_compile,3
person_b,not_numerical_failure,dtype_casting,3
person_b,not_numerical_failure,precision_tolerance,3
person_b,performance_only,nan_inf,3
person_b,not_numerical_failure,crash_compile,2
person_b,not_numerical_failure,performance_only,1
person_b,performance_only,precision_tolerance,1
person_b,performance_only,crash_compile,1
