expansion_id,repository,title,url,candidate_primary_failure,tfidf_linear_svm_prediction,tfidf_logistic_prediction,bigram_tfidf_logistic_prediction,naive_bayes_prediction,bm25_knn_prediction,vote_prediction,vote_count,vote_margin,vote_confidence,human_gold_status
EGNF1000-0001-826741eb,pytorch/pytorch,Choose rounding mode when casting to dtype,https://github.com/pytorch/pytorch/issues/175409,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0002-1b0c5bb2,jax-ml/jax,larger integer matrix multiplies are > 20x slower versus floats.,https://github.com/jax-ml/jax/issues/17688,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0003-eb21dbc8,jax-ml/jax,jax.lax.scan crashes on GPU when jax_default_matmul_precision is set to any non-default value,https://github.com/jax-ml/jax/issues/34917,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0004-8fe6db28,jax-ml/jax,Failed to determine best cudnn convolution algorithm/No GPU/TPU found,https://github.com/jax-ml/jax/issues/8746,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0005-5aa71e10,pytorch/pytorch,Torch nightly rocm6.4 pytorch-triton-rocm requirement mismatch,https://github.com/pytorch/pytorch/issues/167411,precision_tolerance,precision_tolerance,dtype_casting,dtype_casting,nan_inf,overflow_underflow,precision_tolerance,2,0,low,suggestion_only_not_gold
EGNF1000-0006-eaab8dd2,pytorch/pytorch,[Inconsistency] TorchInductor produces incorrect result for aten.hardswish_backward followed by aten.add,https://github.com/pytorch/pytorch/issues/173054,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0007-c9f0f664,triton-lang/triton,MatMul and blocksparse matmul incorrect precision in some shape.,https://github.com/triton-lang/triton/issues/1808,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0008-27d07bc0,triton-lang/triton,Unexpected FP32 inaccuracy in simple consecutive dot (q @ k.T @ v),https://github.com/triton-lang/triton/issues/8407,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0009-39f6b041,jax-ml/jax,Finite precision error calculations always 0 under JIT with bfloat16,https://github.com/jax-ml/jax/issues/23007,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0010-2e91f962,cupy/cupy,ndimage.correlate does not support `mode='grid-constant'`,https://github.com/cupy/cupy/issues/8404,precision_tolerance,overflow_underflow,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,dtype_casting,3,1,medium,suggestion_only_not_gold
EGNF1000-0011-4ba5974e,numba/numba,Numba installation scripts exhibit a race condition during parallel builds,https://github.com/numba/numba/issues/7063,crash_compile,precision_tolerance,dtype_casting,dtype_casting,precision_tolerance,precision_tolerance,precision_tolerance,3,1,medium,suggestion_only_not_gold
EGNF1000-0012-0d4ce1cb,triton-lang/triton,Stream-k matmul implementation very slow mostly because of if/else inside for loop,https://github.com/triton-lang/triton/issues/1393,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0013-d2c6a7d8,triton-lang/triton,int8 x bfloat16 matmul tests fail on 4090s due to numerical error,https://github.com/triton-lang/triton/issues/4113,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
EGNF1000-0014-b3a408a2,jax-ml/jax,JAX is not finding cuDNN even though it is on LD_LIBRARY_PATH,https://github.com/jax-ml/jax/issues/12461,precision_tolerance,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,5,4,high,suggestion_only_not_gold
