expansion_id,repository,title,url,candidate_primary_failure,svm_prediction,logistic_prediction,bigram_prediction,naive_bayes_prediction,vote_prediction,vote_confidence,human_gold_status
EGNF-0001-7d6af292,numba/numba,OSError: exception: access violation reading ... in nvvm.py,https://github.com/numba/numba/issues/4783,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0002-5eeebfe9,numba/numba,CUDA malloc. Fatal Python error: Aborted,https://github.com/numba/numba/issues/4833,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0003-382601ef,numba/numba,Strides of transposes differ between CUDA target and Numpy,https://github.com/numba/numba/issues/4974,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0004-ff555c52,numba/numba,"Intel TBB is required, no threading layer could be loaded, however TBB is already installed",https://github.com/numba/numba/issues/5982,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0005-4ba5974e,numba/numba,Numba installation scripts exhibit a race condition during parallel builds,https://github.com/numba/numba/issues/7063,crash_compile,precision_tolerance,dtype_casting,dtype_casting,precision_tolerance,dtype_casting,low,suggestion_only_not_gold
EGNF-0006-b43608f4,numba/numba,Silently incorrect compilation involving nested functions and asserts,https://github.com/numba/numba/issues/7916,crash_compile,not_numerical_failure,dtype_casting,dtype_casting,dtype_casting,dtype_casting,medium,suggestion_only_not_gold
EGNF-0007-8dd09989,numba/numba,CUDA; Need to handle incorrect `CUDA_HOME` more gracefully,https://github.com/numba/numba/issues/9241,crash_compile,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,medium,suggestion_only_not_gold
EGNF-0008-5814ed26,numba/numba,Pass NULL pointer for cffi.FFI().from_buffer(empty array),https://github.com/numba/numba/issues/9654,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0009-e36488c5,rapidsai/cudf,[BUG]CUDA_ERROR_NO_DEVICE,https://github.com/rapidsai/cudf/issues/14343,crash_compile,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0010-ee62d45c,cupy/cupy,Get segmentation fault with FFT callback function,https://github.com/cupy/cupy/issues/5296,dtype_casting,dtype_casting,dtype_casting,dtype_casting,overflow_underflow,dtype_casting,high,suggestion_only_not_gold
EGNF-0011-83b29bbf,cupy/cupy,center_of_mass much slower than expected?,https://github.com/cupy/cupy/issues/7046,dtype_casting,overflow_underflow,overflow_underflow,dtype_casting,overflow_underflow,overflow_underflow,medium,suggestion_only_not_gold
EGNF-0012-95fad325,cupy/cupy,cusolver error: CUSOLVER_STATUS_INVALID_VALUE for large matrices when trying `linalg.eigh`,https://github.com/cupy/cupy/issues/7261,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0013-ecd9a6ba,cupy/cupy,Support sparse matrix with bool,https://github.com/cupy/cupy/issues/7741,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0014-42974c96,cupy/cupy,argsort etc. to use int32 instead of int64,https://github.com/cupy/cupy/issues/8472,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0015-a88f40a3,cupy/cupy,`%gpu_timeit` magic not ideal for very fast timings,https://github.com/cupy/cupy/issues/9856,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0016-9b65b05e,jax-ml/jax,lstsq is inaccurate,https://github.com/jax-ml/jax/issues/11433,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0017-6aa52f35,jax-ml/jax,cuSolver internal error: RuntimeError: jaxlib/cuda/cusolver_kernels.cc:45,https://github.com/jax-ml/jax/issues/12846,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0018-0cf3edbf,jax-ml/jax,`roll` incorrect if jit-compiled on GPU with 64-bit mode,https://github.com/jax-ml/jax/issues/13271,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0019-ae96b301,jax-ml/jax,"""None of the algorithms provided by cuDNN heuristics worked"" for Ampere NV GPUs",https://github.com/jax-ml/jax/issues/17523,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0020-44da768e,jax-ml/jax,simple pallas kernel hangs when input size exceeds some threshold,https://github.com/jax-ml/jax/issues/21282,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0021-96beee71,jax-ml/jax,All-gather performed in fp32 instead of bf16 despite explicit datatype conversion,https://github.com/jax-ml/jax/issues/23543,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0022-70f9e068,jax-ml/jax,Errors when cusotmizing matrix-vector multiplication using ``pallas``,https://github.com/jax-ml/jax/issues/24142,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0023-972459a7,jax-ml/jax,"On import of package using jax: ""jaxlib.xla_extension.XlaRuntimeError: FAILED_PRECONDITION: DNN library initialization failed. Look at the errors above for more details""",https://github.com/jax-ml/jax/issues/28752,dtype_casting,dtype_casting,dtype_casting,dtype_casting,not_numerical_failure,dtype_casting,high,suggestion_only_not_gold
EGNF-0024-5bed957c,jax-ml/jax,jax.nn.dot_product_attention(...implementation='cudnn') fails due to incorrect loading of libnvrtc,https://github.com/jax-ml/jax/issues/29260,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0025-444d92dc,jax-ml/jax,GPU lowering without device fails again,https://github.com/jax-ml/jax/issues/32610,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0026-2661736a,jax-ml/jax,JIT compilation fails with CUDA_ERROR_INVALID_VALUE,https://github.com/jax-ml/jax/issues/32882,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0027-601e16e4,jax-ml/jax,vmap silently corrupts output when gather + jnp.where combined without returning intermediate,https://github.com/jax-ml/jax/issues/35252,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0028-e1f8e85a,numba/numba,Support dtype from string spec in CUDA array allocators,https://github.com/numba/numba/issues/2205,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
EGNF-0029-8cf3fc75,numba/numba,Provide additional information through numba.cuda.grid API,https://github.com/numba/numba/issues/4179,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,dtype_casting,high,suggestion_only_not_gold
